base_date,emd_nm,card_use_cnt,card_use_amt
2018-01-01,건입동,1806,61606900
2018-01-01,구좌읍,1180,43303254
2018-01-01,남원읍,1581,69402997
2018-01-01,노형동,12507,403571632
2018-01-01,대륜동,2032,72541912
2018-01-01,대정읍,1973,71630370
2018-01-01,대천동,2009,71667637
2018-01-01,도두동,443,22698979
2018-01-01,동홍동,3512,128963114
2018-01-01,봉개동,428,18337917
2018-01-01,삼도1동,3035,98520377
2018-01-01,삼도2동,1479,41435246
2018-01-01,삼양동,4060,156972711
2018-01-01,서홍동,1773,67664857
2018-01-01,성산읍,1268,43697429
2018-01-01,송산동,556,21343182
2018-01-01,아라동,5608,189213430
2018-01-01,안덕면,973,41815525
2018-01-01,알수없음,289,7709731
2018-01-01,애월읍,4378,172747470
2018-01-01,연동,10110,357638950
2018-01-01,영천동,733,32277211
2018-01-01,예래동,648,19690769
2018-01-01,오라동,2652,94214137
2018-01-01,외도동,4313,137300197
2018-01-01,용담1동,1317,57636869
2018-01-01,용담2동,3173,105140385
2018-01-01,우도면,49,807352
2018-01-01,이도1동,1703,52060976
2018-01-01,이도2동,10783,359636524
2018-01-01,이호동,595,16291331
2018-01-01,일도1동,535,21070430
2018-01-01,일도2동,6536,216597925
2018-01-01,정방동,412,14204875
2018-01-01,조천읍,3018,101716101
2018-01-01,중문동,1450,56595999
2018-01-01,중앙동,556,21980401
2018-01-01,천지동,541,18968263
2018-01-01,추자면,98,2947768
2018-01-01,표선면,1052,37681157
2018-01-01,한경면,585,23765088
2018-01-01,한림읍,2136,76846214
2018-01-01,화북동,4484,137016398
2018-01-01,효돈동,614,19647562
2018-01-02,건입동,1806,66491024
2018-01-02,구좌읍,1159,38934878
2018-01-02,남원읍,1532,53602736
2018-01-02,노형동,12255,371118421
2018-01-02,대륜동,2029,80531168
2018-01-02,대정읍,2255,77979147
2018-01-02,대천동,2017,64489561
2018-01-02,도두동,423,11622412
2018-01-02,동홍동,3600,126683793
2018-01-02,봉개동,461,11926488
2018-01-02,삼도1동,2755,76751917
2018-01-02,삼도2동,1630,50778828
2018-01-02,삼양동,3955,132178232
2018-01-02,서홍동,1915,62949343
2018-01-02,성산읍,1346,41904003
2018-01-02,송산동,457,17886688
2018-01-02,아라동,5986,171881129
2018-01-02,안덕면,1131,41369500
2018-01-02,알수없음,242,29321736
2018-01-02,애월읍,4704,152306850
2018-01-02,연동,9040,251795405
2018-01-02,영천동,570,18890047
2018-01-02,예래동,540,15013945
2018-01-02,오라동,2809,79682966
2018-01-02,외도동,4253,120973558
2018-01-02,용담1동,1161,35846634
2018-01-02,용담2동,2976,103851607
2018-01-02,우도면,64,1945735
2018-01-02,이도1동,1688,54700198
2018-01-02,이도2동,10296,331966670
2018-01-02,이호동,638,18588966
2018-01-02,일도1동,535,21937045
2018-01-02,일도2동,6392,177485895
2018-01-02,정방동,370,14339950
2018-01-02,조천읍,2868,87658819
2018-01-02,중문동,1497,43280129
2018-01-02,중앙동,423,15381410
2018-01-02,천지동,534,22265082
2018-01-02,추자면,108,4032829
2018-01-02,표선면,982,51308862
2018-01-02,한경면,706,25703997
2018-01-02,한림읍,2165,85111414
2018-01-02,화북동,4384,125688292
2018-01-02,효돈동,507,17901860
2018-01-03,건입동,1896,69478513
2018-01-03,구좌읍,1179,45132966
2018-01-03,남원읍,1522,49545681
2018-01-03,노형동,12791,377376133
2018-01-03,대륜동,2249,77414301
2018-01-03,대정읍,2229,89727991
2018-01-03,대천동,1704,56013035
2018-01-03,도두동,526,22739732
2018-01-03,동홍동,3825,131888972
2018-01-03,봉개동,433,14047412
2018-01-03,삼도1동,3207,90375621
2018-01-03,삼도2동,1571,52475920
2018-01-03,삼양동,3912,115858545
2018-01-03,서홍동,1735,62257032
2018-01-03,성산읍,1261,45349988
2018-01-03,송산동,575,17384100
2018-01-03,아라동,6078,173908994
2018-01-03,안덕면,1143,47918998
2018-01-03,알수없음,197,4106283
2018-01-03,애월읍,4568,131911324
2018-01-03,연동,9343,284459352
2018-01-03,영천동,687,26062575
2018-01-03,예래동,453,14846465
2018-01-03,오라동,2730,86756213
2018-01-03,외도동,4730,130670715
2018-01-03,용담1동,1430,42955773
2018-01-03,용담2동,3275,87611193
2018-01-03,우도면,50,778284
2018-01-03,이도1동,1866,61832072
2018-01-03,이도2동,10439,290458268
2018-01-03,이호동,724,23952012
2018-01-03,일도1동,507,17136293
2018-01-03,일도2동,6298,189380243
2018-01-03,정방동,373,12030875
2018-01-03,조천읍,3114,101569045
2018-01-03,중문동,1411,79074470
2018-01-03,중앙동,431,33879933
2018-01-03,천지동,497,21277878
2018-01-03,추자면,129,3946412
2018-01-03,표선면,933,52441010
2018-01-03,한경면,805,26731367
2018-01-03,한림읍,1965,65683623
2018-01-03,화북동,4424,144847405
2018-01-03,효돈동,550,25939432
2018-01-04,건입동,1758,53100276
2018-01-04,구좌읍,1242,51784297
2018-01-04,남원읍,1538,52030140
2018-01-04,노형동,12957,380504083
2018-01-04,대륜동,1908,66535017
2018-01-04,대정읍,2194,87332600
2018-01-04,대천동,1723,85159875
2018-01-04,도두동,390,40112049
2018-01-04,동홍동,3595,121727542
2018-01-04,봉개동,452,15690200
2018-01-04,삼도1동,2893,75812120
2018-01-04,삼도2동,1542,45614637
2018-01-04,삼양동,3949,106661404
2018-01-04,서홍동,1524,52619930
2018-01-04,성산읍,1227,35969334
2018-01-04,송산동,487,20145435
2018-01-04,아라동,5926,162285075
2018-01-04,안덕면,1089,39658955
2018-01-04,알수없음,183,5684356
2018-01-04,애월읍,4518,141114382
2018-01-04,연동,9147,268996854
2018-01-04,영천동,682,26333606
2018-01-04,예래동,522,15961772
2018-01-04,오라동,2617,80502396
2018-01-04,외도동,4487,137327422
2018-01-04,용담1동,1149,33171567
2018-01-04,용담2동,3089,84435456
2018-01-04,우도면,40,3370421
2018-01-04,이도1동,1700,56019516
2018-01-04,이도2동,10646,287587343
2018-01-04,이호동,697,20161197
2018-01-04,일도1동,503,18360308
2018-01-04,일도2동,6222,187523947
2018-01-04,정방동,408,20811772
2018-01-04,조천읍,3108,94862968
2018-01-04,중문동,1288,43266174
2018-01-04,중앙동,390,14875533
2018-01-04,천지동,491,18250176
2018-01-04,추자면,79,2549026
2018-01-04,표선면,1041,29538266
2018-01-04,한경면,670,29762652
2018-01-04,한림읍,2008,69997698
2018-01-04,화북동,4447,125843103
2018-01-04,효돈동,584,20778187
2018-01-05,건입동,1828,109730840
2018-01-05,구좌읍,1208,41481693
2018-01-05,남원읍,1631,68354123
2018-01-05,노형동,12899,411296338
2018-01-05,대륜동,2096,76309866
2018-01-05,대정읍,2386,104792142
2018-01-05,대천동,2079,80812709
2018-01-05,도두동,526,15109789
2018-01-05,동홍동,3987,132991719
2018-01-05,봉개동,437,17567637
2018-01-05,삼도1동,2966,87921603
2018-01-05,삼도2동,1825,64053061
2018-01-05,삼양동,4115,136788723
2018-01-05,서홍동,1801,68284304
2018-01-05,성산읍,1243,45349595
2018-01-05,송산동,512,22109829
2018-01-05,아라동,5671,164400548
2018-01-05,안덕면,959,31622659
2018-01-05,알수없음,281,10197824
2018-01-05,애월읍,4645,158032574
2018-01-05,연동,9820,302695712
2018-01-05,영천동,620,24901753
2018-01-05,예래동,546,24633961
2018-01-05,오라동,2867,94936913
2018-01-05,외도동,4634,127221587
2018-01-05,용담1동,1310,42462220
2018-01-05,용담2동,2975,88761114
2018-01-05,우도면,74,4716105
2018-01-05,이도1동,1821,49572489
2018-01-05,이도2동,11287,369615952
2018-01-05,이호동,723,22138356
2018-01-05,일도1동,512,15577172
2018-01-05,일도2동,6845,216967647
2018-01-05,정방동,394,14741391
2018-01-05,조천읍,3232,106119535
2018-01-05,중문동,1390,41002380
2018-01-05,중앙동,516,23357017
2018-01-05,천지동,501,20735078
2018-01-05,추자면,98,5243831
2018-01-05,표선면,958,44819462
2018-01-05,한경면,649,26186183
2018-01-05,한림읍,1836,64775077
2018-01-05,화북동,4752,134643101
2018-01-05,효돈동,609,20723489
2018-01-06,건입동,2123,70279875
2018-01-06,구좌읍,1429,53612388
2018-01-06,남원읍,1591,60038106
2018-01-06,노형동,14091,487254260
2018-01-06,대륜동,2402,108347693
2018-01-06,대정읍,2676,93266236
2018-01-06,대천동,2008,69024192
2018-01-06,도두동,664,19217913
2018-01-06,동홍동,4414,173289367
2018-01-06,봉개동,506,18301141
2018-01-06,삼도1동,3477,114742282
2018-01-06,삼도2동,1748,53728166
2018-01-06,삼양동,4498,148114570
2018-01-06,서홍동,1881,68041013
2018-01-06,성산읍,1296,45688924
2018-01-06,송산동,608,25094126
2018-01-06,아라동,6859,237437829
2018-01-06,안덕면,1189,44807924
2018-01-06,알수없음,331,13528621
2018-01-06,애월읍,4802,163532853
2018-01-06,연동,10282,338535367
2018-01-06,영천동,648,23609882
2018-01-06,예래동,575,18025298
2018-01-06,오라동,3192,109504241
2018-01-06,외도동,4684,152448558
2018-01-06,용담1동,1571,62856592
2018-01-06,용담2동,3324,122932162
2018-01-06,우도면,45,1313720
2018-01-06,이도1동,1968,67178327
2018-01-06,이도2동,11601,382742946
2018-01-06,이호동,747,29069409
2018-01-06,일도1동,672,20163013
2018-01-06,일도2동,7492,259873137
2018-01-06,정방동,451,19335826
2018-01-06,조천읍,3493,129801055
