,resident_base_year,resident_base_month,resident_emd_nm,resident_sex,resident_resid_reg_pop,resident_foreign_pop,resident_total_pop
0,2018,1,건입동,남성,5085,146,5231
1,2018,1,건입동,여성,4715,82,4797
2,2018,1,구좌읍,남성,7965,368,8333
3,2018,1,구좌읍,여성,7609,184,7793
4,2018,1,남원읍,남성,9806,428,10234
5,2018,1,남원읍,여성,9306,200,9506
6,2018,1,노형동,남성,26286,821,27107
7,2018,1,노형동,여성,27083,768,27851
8,2018,1,대륜동,남성,6836,83,6919
9,2018,1,대륜동,여성,6637,95,6732
10,2018,1,대정읍,남성,10360,841,11201
11,2018,1,대정읍,여성,10725,677,11402
12,2018,1,대천동,남성,6685,107,6792
13,2018,1,대천동,여성,6475,137,6612
14,2018,1,도두동,남성,1602,43,1645
15,2018,1,도두동,여성,1424,55,1479
16,2018,1,동홍동,남성,11124,624,11748
17,2018,1,동홍동,여성,11569,642,12211
18,2018,1,봉개동,남성,2089,37,2126
19,2018,1,봉개동,여성,1838,39,1877
20,2018,1,삼도1동,남성,7057,60,7117
21,2018,1,삼도1동,여성,7348,81,7429
22,2018,1,삼도2동,남성,4500,128,4628
23,2018,1,삼도2동,여성,4188,94,4282
24,2018,1,삼양동,남성,12016,87,12103
25,2018,1,삼양동,여성,11819,158,11977
26,2018,1,서홍동,남성,5302,61,5363
27,2018,1,서홍동,여성,5335,66,5401
28,2018,1,성산읍,남성,8006,1015,9021
29,2018,1,성산읍,여성,7332,560,7892
30,2018,1,송산동,남성,2344,366,2710
31,2018,1,송산동,여성,2111,157,2268
32,2018,1,아라동,남성,15129,488,15617
33,2018,1,아라동,여성,15343,507,15850
34,2018,1,안덕면,남성,5938,258,6196
35,2018,1,안덕면,여성,5524,264,5788
36,2018,1,애월읍,남성,17708,481,18189
37,2018,1,애월읍,여성,16563,454,17017
38,2018,1,연동,남성,20591,703,21294
39,2018,1,연동,여성,21018,926,21944
40,2018,1,영천동,남성,2640,111,2751
41,2018,1,영천동,여성,2526,60,2586
42,2018,1,예래동,남성,2011,69,2080
43,2018,1,예래동,여성,1922,74,1996
44,2018,1,오라동,남성,6889,81,6970
45,2018,1,오라동,여성,6747,112,6859
46,2018,1,외도동,남성,10483,120,10603
47,2018,1,외도동,여성,10345,157,10502
48,2018,1,용담1동,남성,4026,38,4064
49,2018,1,용담1동,여성,3775,48,3823
50,2018,1,용담2동,남성,7965,69,8034
51,2018,1,용담2동,여성,7748,134,7882
52,2018,1,우도면,남성,981,16,997
53,2018,1,우도면,여성,875,16,891
54,2018,1,이도1동,남성,3980,51,4031
55,2018,1,이도1동,여성,3975,81,4056
56,2018,1,이도2동,남성,24510,214,24724
57,2018,1,이도2동,여성,25593,344,25937
58,2018,1,이호동,남성,2152,66,2218
59,2018,1,이호동,여성,2016,71,2087
60,2018,1,일도1동,남성,1586,52,1638
61,2018,1,일도1동,여성,1453,36,1489
62,2018,1,일도2동,남성,17188,92,17280
63,2018,1,일도2동,여성,17797,184,17981
64,2018,1,정방동,남성,1275,49,1324
65,2018,1,정방동,여성,1186,47,1233
66,2018,1,조천읍,남성,12062,289,12351
67,2018,1,조천읍,여성,11394,237,11631
68,2018,1,중문동,남성,5551,138,5689
69,2018,1,중문동,여성,5145,141,5286
70,2018,1,중앙동,남성,1913,43,1956
71,2018,1,중앙동,여성,2086,64,2150
72,2018,1,천지동,남성,1818,49,1867
73,2018,1,천지동,여성,1729,47,1776
74,2018,1,추자면,남성,1020,352,1372
75,2018,1,추자면,여성,842,11,853
76,2018,1,표선면,남성,6279,261,6540
77,2018,1,표선면,여성,5974,148,6122
78,2018,1,한경면,남성,4509,224,4733
79,2018,1,한경면,여성,4441,95,4536
80,2018,1,한림읍,남성,10808,2192,13000
81,2018,1,한림읍,여성,10081,1338,11419
82,2018,1,화북동,남성,12572,215,12787
83,2018,1,화북동,여성,12583,146,12729
84,2018,1,효돈동,남성,2697,48,2745
85,2018,1,효돈동,여성,2628,34,2662
86,2018,2,건입동,남성,5090,142,5232
87,2018,2,건입동,여성,4724,82,4806
88,2018,2,구좌읍,남성,7996,372,8368
89,2018,2,구좌읍,여성,7614,181,7795
90,2018,2,남원읍,남성,9821,430,10251
91,2018,2,남원읍,여성,9321,205,9526
92,2018,2,노형동,남성,26278,866,27144
93,2018,2,노형동,여성,27091,798,27889
94,2018,2,대륜동,남성,6841,86,6927
95,2018,2,대륜동,여성,6678,94,6772
96,2018,2,대정읍,남성,10381,827,11208
97,2018,2,대정읍,여성,10746,676,11422
98,2018,2,대천동,남성,6747,105,6852
99,2018,2,대천동,여성,6506,138,6644
100,2018,2,도두동,남성,1611,43,1654
101,2018,2,도두동,여성,1422,58,1480
102,2018,2,동홍동,남성,11160,620,11780
103,2018,2,동홍동,여성,11567,635,12202
104,2018,2,봉개동,남성,2101,37,2138
105,2018,2,봉개동,여성,1859,40,1899
106,2018,2,삼도1동,남성,7056,64,7120
107,2018,2,삼도1동,여성,7354,83,7437
108,2018,2,삼도2동,남성,4497,128,4625
109,2018,2,삼도2동,여성,4199,97,4296
110,2018,2,삼양동,남성,12126,87,12213
111,2018,2,삼양동,여성,11939,161,12100
112,2018,2,서홍동,남성,5322,57,5379
113,2018,2,서홍동,여성,5344,66,5410
114,2018,2,성산읍,남성,8029,1003,9032
115,2018,2,성산읍,여성,7356,557,7913
116,2018,2,송산동,남성,2349,370,2719
117,2018,2,송산동,여성,2117,159,2276
118,2018,2,아라동,남성,15386,484,15870
119,2018,2,아라동,여성,15607,496,16103
120,2018,2,안덕면,남성,5985,263,6248
121,2018,2,안덕면,여성,5560,270,5830
122,2018,2,애월읍,남성,17777,544,18321
123,2018,2,애월읍,여성,16609,496,17105
124,2018,2,연동,남성,20537,719,21256
125,2018,2,연동,여성,20951,925,21876
126,2018,2,영천동,남성,2638,109,2747
127,2018,2,영천동,여성,2534,61,2595
128,2018,2,예래동,남성,2026,67,2093
129,2018,2,예래동,여성,1931,72,2003
130,2018,2,오라동,남성,6932,83,7015
131,2018,2,오라동,여성,6797,109,6906
132,2018,2,외도동,남성,10520,117,10637
133,2018,2,외도동,여성,10350,155,10505
134,2018,2,용담1동,남성,3991,36,4027
135,2018,2,용담1동,여성,3761,48,3809
136,2018,2,용담2동,남성,7925,69,7994
137,2018,2,용담2동,여성,7713,136,7849
138,2018,2,우도면,남성,982,16,998
139,2018,2,우도면,여성,875,16,891
140,2018,2,이도1동,남성,3969,47,4016
141,2018,2,이도1동,여성,3957,77,4034
142,2018,2,이도2동,남성,24417,216,24633
143,2018,2,이도2동,여성,25488,332,25820
144,2018,2,이호동,남성,2158,67,2225
145,2018,2,이호동,여성,2019,72,2091
146,2018,2,일도1동,남성,1570,52,1622
147,2018,2,일도1동,여성,1425,37,1462
148,2018,2,일도2동,남성,17177,92,17269
149,2018,2,일도2동,여성,17776,186,17962
150,2018,2,정방동,남성,1264,52,1316
151,2018,2,정방동,여성,1178,49,1227
152,2018,2,조천읍,남성,12102,291,12393
153,2018,2,조천읍,여성,11409,229,11638
154,2018,2,중문동,남성,5573,139,5712
155,2018,2,중문동,여성,5181,143,5324
156,2018,2,중앙동,남성,1893,45,1938
157,2018,2,중앙동,여성,2066,66,2132
158,2018,2,천지동,남성,1806,50,1856
159,2018,2,천지동,여성,1731,47,1778
160,2018,2,추자면,남성,1031,349,1380
161,2018,2,추자면,여성,854,10,864
162,2018,2,표선면,남성,6300,249,6549
163,2018,2,표선면,여성,5984,150,6134
164,2018,2,한경면,남성,4509,215,4724
165,2018,2,한경면,여성,4456,96,4552
166,2018,2,한림읍,남성,10796,2205,13001
167,2018,2,한림읍,여성,10089,1337,11426
168,2018,2,화북동,남성,12517,220,12737
169,2018,2,화북동,여성,12546,146,12692
170,2018,2,효돈동,남성,2686,49,2735
171,2018,2,효돈동,여성,2633,33,2666
172,2018,3,건입동,남성,5072,141,5213
173,2018,3,건입동,여성,4711,81,4792
174,2018,3,구좌읍,남성,8002,376,8378
175,2018,3,구좌읍,여성,7594,176,7770
176,2018,3,남원읍,남성,9837,424,10261
177,2018,3,남원읍,여성,9341,204,9545
178,2018,3,노형동,남성,26225,878,27103
179,2018,3,노형동,여성,27092,805,27897
180,2018,3,대륜동,남성,6921,89,7010
181,2018,3,대륜동,여성,6748,93,6841
182,2018,3,대정읍,남성,10389,824,11213
183,2018,3,대정읍,여성,10782,675,11457
184,2018,3,대천동,남성,6803,104,6907
185,2018,3,대천동,여성,6545,140,6685
186,2018,3,도두동,남성,1614,43,1657
187,2018,3,도두동,여성,1438,55,1493
188,2018,3,동홍동,남성,11156,615,11771
189,2018,3,동홍동,여성,11561,631,12192
190,2018,3,봉개동,남성,2111,34,2145
191,2018,3,봉개동,여성,1868,39,1907
192,2018,3,삼도1동,남성,7042,69,7111
193,2018,3,삼도1동,여성,7338,85,7423
194,2018,3,삼도2동,남성,4480,121,4601
195,2018,3,삼도2동,여성,4195,95,4290
196,2018,3,삼양동,남성,12138,87,12225
197,2018,3,삼양동,여성,11969,161,12130
198,2018,3,서홍동,남성,5328,56,5384
199,2018,3,서홍동,여성,5340,70,5410
200,2018,3,성산읍,남성,8044,991,9035
201,2018,3,성산읍,여성,7368,548,7916
202,2018,3,송산동,남성,2353,367,2720
203,2018,3,송산동,여성,2109,159,2268
204,2018,3,아라동,남성,15638,541,16179
205,2018,3,아라동,여성,15822,550,16372
206,2018,3,안덕면,남성,6003,273,6276
207,2018,3,안덕면,여성,5592,260,5852
208,2018,3,애월읍,남성,17842,535,18377
209,2018,3,애월읍,여성,16649,494,17143
210,2018,3,연동,남성,20484,739,21223
211,2018,3,연동,여성,20950,931,21881
212,2018,3,영천동,남성,2634,110,2744
213,2018,3,영천동,여성,2535,59,2594
214,2018,3,예래동,남성,2039,72,2111
215,2018,3,예래동,여성,1944,68,2012
216,2018,3,오라동,남성,6993,82,7075
217,2018,3,오라동,여성,6842,109,6951
218,2018,3,외도동,남성,10591,116,10707
219,2018,3,외도동,여성,10401,156,10557
220,2018,3,용담1동,남성,3989,38,4027
221,2018,3,용담1동,여성,3753,47,3800
222,2018,3,용담2동,남성,7901,69,7970
223,2018,3,용담2동,여성,7684,137,7821
224,2018,3,우도면,남성,990,17,1007
225,2018,3,우도면,여성,875,15,890
226,2018,3,이도1동,남성,3979,46,4025
227,2018,3,이도1동,여성,3949,77,4026
228,2018,3,이도2동,남성,24400,226,24626
229,2018,3,이도2동,여성,25421,341,25762
230,2018,3,이호동,남성,2198,70,2268
231,2018,3,이호동,여성,2060,74,2134
