base_date,emd_nm,short_nationality_CHN,short_nationality_ETC,short_nationality_HKG,short_nationality_IDN,short_nationality_JPN,short_nationality_MYS,short_nationality_SGP,short_nationality_THA,short_nationality_USA,short_nationality_VNM,short_visit_pop_cnt
2018-01-01,건입동,24,24,22,23,24,24,15,1,1,24,4777.1626
2018-01-01,구좌읍,24,13,2,0,23,24,12,16,24,0,2367.2567000000004
2018-01-01,남원읍,24,24,5,8,16,24,24,0,23,23,3552.3268000000003
2018-01-01,노형동,24,24,13,3,24,24,23,1,24,20,9654.0358
2018-01-01,대륜동,24,24,21,3,24,24,5,0,3,0,1347.0480999999997
2018-01-01,대정읍,24,24,0,24,24,24,8,17,0,0,1988.027999999999
2018-01-01,대천동,24,23,0,3,7,8,12,0,19,0,1072.5069
2018-01-01,도두동,24,24,7,8,1,9,12,13,3,0,2111.7153999999996
2018-01-01,동홍동,24,24,2,0,10,16,3,0,8,0,1516.3274000000001
2018-01-01,봉개동,10,24,0,0,2,14,0,0,2,0,206.28180000000003
2018-01-01,삼도1동,16,13,0,5,24,0,8,0,0,0,1258.7677999999996
2018-01-01,삼도2동,24,24,18,11,24,20,24,1,2,1,4765.468
2018-01-01,삼양동,18,16,0,0,23,0,0,3,0,0,400.25910000000016
2018-01-01,서홍동,24,24,0,0,5,19,0,0,9,0,1946.2962
2018-01-01,성산읍,24,24,18,24,24,24,23,24,22,0,6841.339399999999
2018-01-01,송산동,24,22,0,0,6,0,5,0,24,0,270.5713999999999
2018-01-01,아라동,24,24,0,0,7,17,0,0,24,0,606.1606999999999
2018-01-01,안덕면,24,24,24,6,16,24,0,20,24,0,4422.8721
2018-01-01,애월읍,24,24,0,7,24,23,20,21,8,6,5619.3602
2018-01-01,연동,24,24,24,24,24,24,24,5,24,4,36355.141200000005
2018-01-01,영천동,24,7,0,0,1,6,0,0,0,0,948.7711000000002
2018-01-01,예래동,24,24,14,7,24,24,4,0,24,0,6409.393099999999
2018-01-01,오라동,24,18,5,2,23,24,9,0,23,0,1334.6540999999997
2018-01-01,외도동,0,16,0,0,24,0,0,17,0,0,1240.3300000000004
2018-01-01,용담1동,24,24,0,6,19,0,9,0,0,5,772.6872000000001
2018-01-01,용담2동,24,24,24,18,24,24,24,24,12,3,23191.0658
2018-01-01,우도면,24,1,0,0,4,4,5,0,0,1,684.888
2018-01-01,이도1동,24,24,0,24,24,18,2,0,20,0,1461.6572
2018-01-01,이도2동,24,24,5,8,24,19,24,14,16,0,2477.1533000000004
2018-01-01,이호동,14,24,0,16,0,8,10,24,2,0,1563.1246999999998
2018-01-01,일도1동,24,9,4,0,10,7,0,1,0,0,459.57359999999994
2018-01-01,일도2동,24,20,0,0,24,0,2,2,22,0,1176.4347999999998
2018-01-01,정방동,24,24,6,4,22,23,12,0,2,0,2014.2701
2018-01-01,조천읍,24,24,2,0,24,18,21,0,24,0,2008.0787000000003
2018-01-01,중문동,24,24,24,4,24,24,4,0,14,0,1653.8933
2018-01-01,중앙동,24,24,3,0,4,19,0,0,0,0,374.28880000000004
2018-01-01,천지동,21,7,17,3,15,16,0,0,4,0,488.29670000000016
2018-01-01,추자면,24,24,1,0,0,0,0,0,0,0,586.4513999999999
