base_date,emd_nm,em_cnt,em_g,pay_amt
2018-01-01,건입동,668,1708250,51079
2018-01-01,남원읍,304,1239600,37110
2018-01-01,노형동,3903,9357900,278317
2018-01-01,대륜동,650,1717700,50076
2018-01-01,대정읍,309,1264950,37872
2018-01-01,대천동,696,1765600,52008
2018-01-01,도두동,193,613300,18350
2018-01-01,동홍동,1567,4165050,122434
2018-01-01,봉개동,145,395300,11825
2018-01-01,삼도1동,977,2556750,76456
2018-01-01,삼도2동,626,1425050,42080
2018-01-01,삼양동,1580,3997300,117593
2018-01-01,서홍동,599,1712150,50020
2018-01-01,성산읍,90,424100,12700
2018-01-01,송산동,167,605650,18098
2018-01-01,아라동,1881,4372000,129825
2018-01-01,안덕면,77,296200,8868
2018-01-01,알수없음,41,398950,11960
2018-01-01,애월읍,130,299650,8960
2018-01-01,연동,3091,7264350,217156
2018-01-01,영천동,177,787550,23549
2018-01-01,예래동,107,406300,11381
2018-01-01,오라동,818,2128300,63649
2018-01-01,외도동,1425,3476650,103940
2018-01-01,용담1동,532,1487100,44481
2018-01-01,용담2동,1052,2581850,77201
2018-01-01,이도1동,572,1582300,47326
2018-01-01,이도2동,3536,9033700,270145
2018-01-01,이호동,249,625550,18709
2018-01-01,일도1동,190,718950,21525
2018-01-01,일도2동,2534,6478450,193728
2018-01-01,정방동,223,1025900,30723
2018-01-01,중문동,588,1699100,48940
2018-01-01,중앙동,309,1384300,41443
2018-01-01,천지동,289,1133000,32980
2018-01-01,표선면,112,452850,13556
2018-01-01,화북동,1966,4728700,141364
2018-01-01,효돈동,139,444650,13116
2018-01-02,건입동,745,1841150,55047
2018-01-02,남원읍,381,1569850,47002
2018-01-02,노형동,4312,10152950,300670
2018-01-02,대륜동,797,2121750,61669
2018-01-02,대정읍,332,1278200,38278
2018-01-02,대천동,766,2148050,63288
2018-01-02,도두동,228,748400,22394
2018-01-02,동홍동,1663,4361400,128508
2018-01-02,봉개동,141,356300,10655
2018-01-02,삼도1동,1084,2724050,81444
2018-01-02,삼도2동,634,1502850,44293
2018-01-02,삼양동,1481,3620400,106783
2018-01-02,서홍동,628,1881200,54976
2018-01-02,성산읍,100,442000,13234
2018-01-02,송산동,204,640100,18715
2018-01-02,아라동,1919,4712500,140065
2018-01-02,안덕면,125,388200,11620
2018-01-02,알수없음,39,271600,8137
2018-01-02,애월읍,140,295850,8845
2018-01-02,연동,3207,7546850,225597
2018-01-02,영천동,217,797500,23752
2018-01-02,예래동,124,479450,13296
2018-01-02,오라동,845,2175450,65056
2018-01-02,외도동,1538,3676700,109936
2018-01-02,용담1동,524,1465950,43852
2018-01-02,용담2동,1112,2625900,78511
2018-01-02,이도1동,679,1952450,58407
2018-01-02,이도2동,3696,8945950,267427
2018-01-02,이호동,280,801050,23960
2018-01-02,일도1동,217,678450,20300
2018-01-02,일도2동,2630,6574000,196597
2018-01-02,정방동,238,967650,28966
2018-01-02,중문동,641,1847400,53113
2018-01-02,중앙동,385,1794650,53744
2018-01-02,천지동,306,1268450,37057
2018-01-02,표선면,112,366050,10952
2018-01-02,화북동,1996,4374000,130733
2018-01-02,효돈동,198,822950,24411
2018-01-03,건입동,563,1411450,42203
2018-01-03,남원읍,336,1405650,42080
2018-01-03,노형동,3844,8899800,264025
2018-01-03,대륜동,720,1920300,56079
2018-01-03,대정읍,306,1284450,38456
2018-01-03,대천동,765,2061650,61008
2018-01-03,도두동,179,538000,16095
2018-01-03,동홍동,1598,4028450,119250
2018-01-03,봉개동,112,300400,8988
2018-01-03,삼도1동,945,2333350,69766
2018-01-03,삼도2동,572,1351550,39909
2018-01-03,삼양동,1340,3139900,92746
2018-01-03,서홍동,603,1737000,50533
2018-01-03,성산읍,71,291650,8732
2018-01-03,송산동,202,793100,23161
2018-01-03,아라동,1746,4150250,123413
2018-01-03,안덕면,86,306600,9176
2018-01-03,알수없음,32,301650,9041
2018-01-03,애월읍,108,222900,6663
2018-01-03,연동,2941,6893050,206076
2018-01-03,영천동,174,724300,21506
2018-01-03,예래동,89,325850,9170
2018-01-03,오라동,712,1680400,50231
2018-01-03,외도동,1361,3347200,100065
2018-01-03,용담1동,515,1393500,41682
2018-01-03,용담2동,969,2276350,68050
2018-01-03,이도1동,590,1706900,51074
2018-01-03,이도2동,3439,8485350,253691
2018-01-03,이호동,207,498400,14903
2018-01-03,일도1동,201,657850,19680
2018-01-03,일도2동,2211,5490000,164158
2018-01-03,정방동,254,921250,27568
2018-01-03,중문동,560,1577550,45318
2018-01-03,중앙동,379,1799100,53866
2018-01-03,천지동,296,1242400,36677
2018-01-03,표선면,112,511600,15317
2018-01-03,화북동,1738,3691250,110301
2018-01-03,효돈동,149,577200,17104
2018-01-04,건입동,652,1558700,46606
2018-01-04,남원읍,355,1390250,41610
2018-01-04,노형동,3920,9141400,271229
2018-01-04,대륜동,732,1710000,49272
2018-01-04,대정읍,287,1070000,32031
2018-01-04,대천동,703,1735000,51266
2018-01-04,도두동,191,444450,13293
2018-01-04,동홍동,1491,3725450,109437
2018-01-04,봉개동,135,483350,14472
2018-01-04,삼도1동,1045,2503300,74839
2018-01-04,삼도2동,606,1455150,42910
2018-01-04,삼양동,1446,3607550,106643
2018-01-04,서홍동,536,1553150,44892
2018-01-04,성산읍,94,449000,13446
2018-01-04,송산동,176,659000,19190
2018-01-04,아라동,1677,3760700,111773
2018-01-04,안덕면,67,255250,7640
2018-01-04,알수없음,27,289850,8689
2018-01-04,애월읍,128,275200,8227
2018-01-04,연동,3080,7042850,210524
2018-01-04,영천동,189,930050,27692
2018-01-04,예래동,74,333400,9174
2018-01-04,오라동,752,1782850,53302
2018-01-04,외도동,1403,3187100,95260
2018-01-04,용담1동,537,1522000,45530
2018-01-04,용담2동,1023,2337500,69865
2018-01-04,이도1동,634,1650000,49327
2018-01-04,이도2동,3363,8135600,243240
2018-01-04,이호동,219,643350,19246
2018-01-04,일도1동,201,693850,20762
2018-01-04,일도2동,2377,5922250,177071
2018-01-04,정방동,221,813300,24339
2018-01-04,중문동,611,1699900,49212
2018-01-04,중앙동,347,1611050,48243
2018-01-04,천지동,261,1085600,32283
2018-01-04,표선면,105,366600,10969
2018-01-04,화북동,1724,3729850,111470
2018-01-04,효돈동,151,584850,17309
2018-01-05,건입동,595,1338350,39996
2018-01-05,남원읍,360,1585700,47485
2018-01-05,노형동,3581,8024400,237881
2018-01-05,대륜동,715,1803600,52197
2018-01-05,대정읍,312,1242000,37182
2018-01-05,대천동,713,1978850,58605
2018-01-05,도두동,148,333800,9978
2018-01-05,동홍동,1647,4205100,124242
2018-01-05,봉개동,105,265300,7933
2018-01-05,삼도1동,887,2238050,66908
2018-01-05,삼도2동,574,1419650,42040
2018-01-05,삼양동,1235,2871900,84829
2018-01-05,서홍동,601,1666600,49023
2018-01-05,성산읍,87,358450,10729
2018-01-05,송산동,192,640300,18825
2018-01-05,아라동,1619,3650550,108238
2018-01-05,안덕면,91,368500,11032
2018-01-05,알수없음,35,253150,7588
2018-01-05,애월읍,112,219750,6566
2018-01-05,연동,2787,6468900,193390
2018-01-05,영천동,219,926550,27699
2018-01-05,예래동,98,423400,11916
2018-01-05,오라동,650,1652350,49391
2018-01-05,외도동,1237,2940800,87919
2018-01-05,용담1동,472,1221750,36532
2018-01-05,용담2동,905,2017000,60286
2018-01-05,이도1동,547,1594500,47701
2018-01-05,이도2동,3187,7402500,221284
2018-01-05,이호동,211,481350,14393
2018-01-05,일도1동,181,682950,20444
2018-01-05,일도2동,2200,5250150,156974
2018-01-05,정방동,241,860550,25758
2018-01-05,중문동,601,1744100,50283
2018-01-05,중앙동,395,1839150,55067
2018-01-05,천지동,325,1396200,40912
2018-01-05,표선면,106,420500,12591
2018-01-05,화북동,1569,3342200,99862
2018-01-05,효돈동,169,669700,19885
2018-01-06,건입동,677,1667900,49874
2018-01-06,남원읍,318,1180950,35352
2018-01-06,노형동,3611,8615150,255531
2018-01-06,대륜동,735,1871750,54366
2018-01-06,대정읍,315,1284750,38461
2018-01-06,대천동,718,2025250,59307
2018-01-06,도두동,189,490550,14674
2018-01-06,동홍동,1488,3737450,110021
2018-01-06,봉개동,150,480950,14396
2018-01-06,삼도1동,957,2351700,70315
2018-01-06,삼도2동,550,1361050,40375
2018-01-06,삼양동,1429,3410400,100979
2018-01-06,서홍동,509,1529200,44209
2018-01-06,성산읍,91,324050,9697
2018-01-06,송산동,202,853000,24895
2018-01-06,아라동,1624,3874700,115088
2018-01-06,안덕면,82,267800,8014
2018-01-06,알수없음,34,289050,8664
2018-01-06,애월읍,134,303550,9074
2018-01-06,연동,2780,6829400,204186
2018-01-06,영천동,181,815000,23831
2018-01-06,예래동,106,404050,11546
2018-01-06,오라동,734,1823200,54515
2018-01-06,외도동,1309,3182150,95136
2018-01-06,용담1동,563,1483900,44375
2018-01-06,용담2동,960,2317400,69287
2018-01-06,이도1동,613,1740500,52059
2018-01-06,이도2동,3340,8298200,248117
2018-01-06,이호동,232,574800,17184
2018-01-06,일도1동,196,731900,21905
2018-01-06,일도2동,2225,5513100,164833
2018-01-06,정방동,236,894250,26766
2018-01-06,중문동,564,1834400,52914
2018-01-06,중앙동,350,1773800,53123
2018-01-06,천지동,294,1218700,36187
2018-01-06,표선면,128,482250,14436
2018-01-06,화북동,1772,3969800,118640
2018-01-06,효돈동,158,686700,20440
2018-01-07,건입동,667,1568000,46867
2018-01-07,남원읍,334,1391500,41662
2018-01-07,노형동,4031,9239000,274513
2018-01-07,대륜동,755,1902550,55025
2018-01-07,대정읍,370,1465600,43871
2018-01-07,대천동,650,1689450,49609
2018-01-07,도두동,211,716950,21455
2018-01-07,동홍동,1456,3596650,106739
2018-01-07,봉개동,134,403500,12077
2018-01-07,삼도1동,1015,2469150,73814
2018-01-07,삼도2동,559,1235850,36668
2018-01-07,삼양동,1475,3555150,104611
2018-01-07,서홍동,530,1633150,48271
2018-01-07,성산읍,85,443100,13271
2018-01-07,송산동,206,701350,20356
2018-01-07,아라동,1930,4453300,132221
2018-01-07,안덕면,90,338450,10126
2018-01-07,알수없음,49,332800,9972
2018-01-07,애월읍,123,276150,8250
2018-01-07,연동,3026,7121350,212884
2018-01-07,영천동,167,602900,18022
2018-01-07,예래동,83,326550,9157
2018-01-07,오라동,850,2071750,61948
2018-01-07,외도동,1499,3649300,109102
2018-01-07,용담1동,575,1534600,45892
2018-01-07,용담2동,1011,2470250,73859
2018-01-07,이도1동,619,1718650,51401
2018-01-07,이도2동,3553,8958500,267876
2018-01-07,이호동,259,652700,19516
2018-01-07,일도1동,192,718950,21520
2018-01-07,일도2동,2489,6288600,188047
2018-01-07,정방동,193,783500,23462
2018-01-07,중문동,571,1699200,48916
2018-01-07,중앙동,324,1460000,43717
2018-01-07,천지동,290,1250900,36846
2018-01-07,표선면,90,327150,9792
2018-01-07,화북동,1794,4038450,120717
2018-01-07,효돈동,152,547600,16284
2018-01-08,건입동,568,1368900,40937
2018-01-08,남원읍,330,1328350,39768
2018-01-08,노형동,3695,8768000,260706
2018-01-08,대륜동,827,2127450,62173
2018-01-08,대정읍,326,1357700,40656
2018-01-08,대천동,725,1844900,54844
2018-01-08,도두동,155,395950,11840
2018-01-08,동홍동,1630,4131350,121907
2018-01-08,봉개동,102,285850,8553
2018-01-08,삼도1동,932,2337100,69880
2018-01-08,삼도2동,534,1361750,39903
2018-01-08,삼양동,1361,3284400,96988
2018-01-08,서홍동,559,1760500,52420
2018-01-08,성산읍,81,376850,11289
2018-01-08,송산동,231,853650,24751
2018-01-08,아라동,1643,4124700,122725
2018-01-08,안덕면,88,380400,11390
2018-01-08,알수없음,26,154850,4638
2018-01-08,애월읍,118,253400,7572
2018-01-08,연동,2841,6904500,206438
2018-01-08,영천동,190,928150,27631
2018-01-08,예래동,99,388500,11080
2018-01-08,오라동,652,1694750,50686
2018-01-08,외도동,1277,2966750,88700
2018-01-08,용담1동,489,1427700,42707
2018-01-08,용담2동,890,2087150,62397
2018-01-08,이도1동,604,1781150,53273
2018-01-08,이도2동,3276,8300300,248191
2018-01-08,이호동,224,604550,18081
2018-01-08,일도1동,205,713750,21357
2018-01-08,일도2동,2272,5739700,171640
2018-01-08,정방동,232,952850,28526
2018-01-08,중문동,618,2014850,58324
2018-01-08,중앙동,394,1942950,58186
2018-01-08,천지동,308,1406050,41210
2018-01-08,표선면,104,341800,10231
2018-01-08,화북동,1703,3772250,112755
2018-01-08,효돈동,201,896300,26590
2018-01-09,건입동,590,1545400,46211
2018-01-09,남원읍,308,1281850,38379
2018-01-09,노형동,3985,9266500,274939
2018-01-09,대륜동,667,1746700,50819
2018-01-09,대정읍,342,1280150,38320
2018-01-09,대천동,614,1790500,52612
2018-01-09,도두동,186,511700,15307
2018-01-09,동홍동,1486,3773800,111569
2018-01-09,봉개동,103,274700,8216
2018-01-09,삼도1동,922,2358700,70519
2018-01-09,삼도2동,575,1396100,41276
2018-01-09,삼양동,1430,3330000,98169
2018-01-09,서홍동,537,1748800,51969
2018-01-09,성산읍,84,438200,13129
2018-01-09,송산동,233,925950,26421
2018-01-09,아라동,1820,3948800,117486
2018-01-09,안덕면,83,307700,9211
2018-01-09,알수없음,36,307500,9216
2018-01-09,애월읍,138,230200,6878
2018-01-09,연동,2997,7205100,215384
2018-01-09,영천동,223,1407850,42004
2018-01-09,예래동,78,323350,9030
2018-01-09,오라동,772,1884400,56347
2018-01-09,외도동,1325,3200200,95663
2018-01-09,용담1동,456,1258850,37656
2018-01-09,용담2동,945,2303500,68851
2018-01-09,이도1동,578,1740300,52065
2018-01-09,이도2동,3424,8307000,248347
2018-01-09,이호동,223,628150,18793
2018-01-09,일도1동,195,724950,21698
2018-01-09,일도2동,2183,5445800,162834
2018-01-09,정방동,220,922450,27619
2018-01-09,중문동,530,1545850,44370
2018-01-09,중앙동,368,1720750,51534
2018-01-09,천지동,262,1199600,35022
2018-01-09,표선면,122,552900,16559
2018-01-09,화북동,1727,3947600,118011
2018-01-09,효돈동,153,613450,18171
2018-01-10,건입동,450,1154300,34515
2018-01-10,남원읍,242,923750,27650
2018-01-10,노형동,3172,7094500,210570
2018-01-10,대륜동,501,1303100,37729
2018-01-10,대정읍,234,901000,26975
2018-01-10,대천동,444,1154100,34134
2018-01-10,도두동,127,320850,9595
2018-01-10,동홍동,1132,2912200,86043
2018-01-10,봉개동,79,197700,5911
2018-01-10,삼도1동,711,1723900,51538
2018-01-10,삼도2동,440,1114150,32974
2018-01-10,삼양동,1101,2638300,77737
2018-01-10,서홍동,391,1227450,36582
2018-01-10,성산읍,61,289350,8664
2018-01-10,송산동,151,575000,16650
2018-01-10,아라동,1338,3060950,90890
2018-01-10,안덕면,67,253550,7591
2018-01-10,알수없음,26,220200,6597
2018-01-10,애월읍,105,187500,5601
2018-01-10,연동,2344,5536400,165504
2018-01-10,영천동,159,561100,16791
2018-01-10,예래동,63,244250,6888
2018-01-10,오라동,600,1426600,42646
2018-01-10,외도동,1108,2710600,81032
2018-01-10,용담1동,387,980300,29306
2018-01-10,용담2동,702,1687950,50473
2018-01-10,이도1동,503,1465950,43854
2018-01-10,이도2동,2596,6298800,188328
2018-01-10,이호동,174,373500,11160
2018-01-10,일도1동,132,476350,14256
2018-01-10,일도2동,1700,4255400,127246
2018-01-10,정방동,160,672800,20150
2018-01-10,중문동,437,1190750,34161
2018-01-10,중앙동,253,1171600,35084
2018-01-10,천지동,226,943750,27576
2018-01-10,표선면,75,273700,8194
2018-01-10,화북동,1404,3148050,94094
2018-01-10,효돈동,99,403650,11859
2018-01-11,건입동,374,938650,28059
2018-01-11,남원읍,187,674800,20200
2018-01-11,노형동,2871,6742100,200372
2018-01-11,대륜동,469,1237950,35356
2018-01-11,대정읍,233,804150,24068
2018-01-11,대천동,467,1126000,33389
2018-01-11,도두동,114,248400,7424
2018-01-11,동홍동,1130,2923300,86166
2018-01-11,봉개동,75,226400,6773
2018-01-11,삼도1동,609,1540350,46059
2018-01-11,삼도2동,382,928650,27315
2018-01-11,삼양동,1042,2392950,70422
2018-01-11,서홍동,415,1295900,38690
2018-01-11,성산읍,33,126150,3776
2018-01-11,송산동,145,603300,17564
2018-01-11,아라동,1154,2507650,74278
2018-01-11,안덕면,43,165050,4941
2018-01-11,알수없음,17,131350,3938
2018-01-11,애월읍,98,194050,5795
2018-01-11,연동,2130,4854950,145128
2018-01-11,영천동,144,517000,15451
2018-01-11,예래동,44,190050,5350
2018-01-11,오라동,528,1235900,36951
2018-01-11,외도동,1086,2464700,73665
2018-01-11,용담1동,302,886250,26509
2018-01-11,용담2동,653,1619650,48421
2018-01-11,이도1동,398,1165000,34854
2018-01-11,이도2동,2182,5233150,156443
2018-01-11,이호동,144,301700,9013
2018-01-11,일도1동,112,428700,12834
2018-01-11,일도2동,1479,3783550,113150
2018-01-11,정방동,151,611700,18311
2018-01-11,중문동,354,922450,26420
2018-01-11,중앙동,260,1176900,35244
2018-01-11,천지동,195,960300,28123
2018-01-11,표선면,69,269850,8078
2018-01-11,화북동,1207,2642500,78961
2018-01-11,효돈동,94,357700,10445
2018-01-12,건입동,551,1414050,42285
2018-01-12,남원읍,238,1138700,34104
2018-01-12,노형동,3385,7880300,234195
2018-01-12,대륜동,638,1883150,54364
2018-01-12,대정읍,310,1177300,35242
2018-01-12,대천동,592,1579050,46504
2018-01-12,도두동,146,394500,11803
2018-01-12,동홍동,1524,4432300,130902
2018-01-12,봉개동,98,280600,8393
2018-01-12,삼도1동,827,2073500,62003
2018-01-12,삼도2동,463,1261150,37053
2018-01-12,삼양동,1267,3198500,94580
2018-01-12,서홍동,599,1879300,55809
2018-01-12,성산읍,59,255750,7659
2018-01-12,송산동,206,835050,24039
2018-01-12,아라동,1387,3207050,95169
2018-01-12,안덕면,57,305500,9149
2018-01-12,알수없음,28,217150,6506
2018-01-12,애월읍,109,209500,6261
2018-01-12,연동,2532,5982100,178821
2018-01-12,영천동,170,791300,23331
2018-01-12,예래동,63,329800,9152
2018-01-12,오라동,658,1625200,48581
2018-01-12,외도동,1286,3144000,94009
2018-01-12,용담1동,414,1133750,33918
2018-01-12,용담2동,792,1967850,58844
2018-01-12,이도1동,477,1303750,38982
2018-01-12,이도2동,2778,6979250,208693
2018-01-12,이호동,204,527900,15783
2018-01-12,일도1동,150,540150,16159
2018-01-12,일도2동,2016,5205650,155671
2018-01-12,정방동,192,732350,21922
2018-01-12,중문동,488,1348650,38953
2018-01-12,중앙동,363,1709800,51208
2018-01-12,천지동,337,1542150,45196
2018-01-12,표선면,86,320900,9604
2018-01-12,화북동,1632,3654150,109218
2018-01-12,효돈동,143,528050,15585
2018-01-13,건입동,707,1797900,53764
2018-01-13,남원읍,353,1852250,55491
2018-01-13,노형동,3830,9435900,279559
2018-01-13,대륜동,806,2518400,73945
2018-01-13,대정읍,353,1393150,41710
2018-01-13,대천동,687,2249200,66345
