base_date,emd_nm,card_use_cnt,card_use_amt
2018-01,건입동,57683,2024688672
2018-01,구좌읍,38869,1437171016
2018-01,남원읍,49138,1878298705
2018-01,노형동,397207,12301257150
2018-01,대륜동,65027,2414501385
2018-01,대정읍,80495,2908778634
2018-01,대천동,60983,2102090938
2018-01,도두동,16037,666331855
2018-01,동홍동,119118,4382523533
2018-01,봉개동,14135,493891309
2018-01,삼도1동,92264,2860475184
2018-01,삼도2동,50660,1606365529
2018-01,삼양동,128594,3932947673
2018-01,서홍동,54716,2058885140
2018-01,성산읍,38694,1427670098
2018-01,송산동,16505,669263424
2018-01,아라동,181328,5630313389
2018-01,안덕면,33567,1273327076
2018-01,알수없음,7933,290431278
2018-01,애월읍,140171,4832778967
2018-01,연동,299618,9549524632
2018-01,영천동,20978,823853268
2018-01,예래동,16466,589178230
2018-01,오라동,86971,2805317011
2018-01,외도동,140824,4224320072
2018-01,용담1동,41706,1384604983
2018-01,용담2동,98674,3205109792
2018-01,우도면,1776,71872488
2018-01,이도1동,54319,1753376648
2018-01,이도2동,332316,10234654015
2018-01,이호동,21044,686577831
2018-01,일도1동,18827,704798627
2018-01,일도2동,209067,6709169925
2018-01,정방동,11593,496788550
2018-01,조천읍,94488,3048484655
2018-01,중문동,44369,1612200083
2018-01,중앙동,15802,751673280
2018-01,천지동,15549,652689744
2018-01,추자면,3119,127001469
2018-01,표선면,31350,1158023758
2018-01,한경면,20817,734206868
2018-01,한림읍,66249,2508537826
2018-01,화북동,148040,4554873481
2018-01,효돈동,18136,713521597
2018-02,건입동,49921,2007405800
2018-02,구좌읍,35866,1374087343
2018-02,남원읍,42175,1830127205
2018-02,노형동,354245,11913323345
2018-02,대륜동,54548,2205572149
2018-02,대정읍,71809,2683500280
2018-02,대천동,53280,2005058927
2018-02,도두동,14088,627751164
2018-02,동홍동,100801,4085044527
2018-02,봉개동,12639,478288500
2018-02,삼도1동,81885,2711838362
2018-02,삼도2동,45279,1557121446
2018-02,삼양동,114428,3819245859
2018-02,서홍동,48632,1997667380
2018-02,성산읍,34638,1335176291
2018-02,송산동,13895,632259206
2018-02,아라동,161513,5492923398
2018-02,안덕면,31228,1201789881
2018-02,알수없음,4922,195870617
2018-02,애월읍,120409,4407444601
2018-02,연동,263826,9050723296
2018-02,영천동,19182,894209096
2018-02,예래동,14093,598176098
2018-02,오라동,77815,2720671164
2018-02,외도동,120571,3908097453
2018-02,용담1동,36798,1298019455
2018-02,용담2동,87599,2910845020
2018-02,우도면,2056,84249703
2018-02,이도1동,47755,1605926676
2018-02,이도2동,294440,9784822367
2018-02,이호동,19261,654833771
2018-02,일도1동,17170,680533274
2018-02,일도2동,189057,6399350110
2018-02,정방동,10609,424745400
2018-02,조천읍,82160,2905944778
2018-02,중문동,39765,1496065534
2018-02,중앙동,13801,690636709
2018-02,천지동,13235,643520828
2018-02,추자면,2832,117476828
2018-02,표선면,26487,1121938692
2018-02,한경면,18040,681389135
2018-02,한림읍,59626,2400943521
2018-02,화북동,130302,4297067725
2018-02,효돈동,16228,638787211
2018-03,건입동,60518,2039051790
2018-03,구좌읍,42607,1455415201
2018-03,남원읍,51862,2031457573
2018-03,노형동,410648,12602176313
2018-03,대륜동,68043,2553517307
2018-03,대정읍,89222,3147251959
2018-03,대천동,63897,2167423482
2018-03,도두동,15879,591669335
2018-03,동홍동,121343,4409891688
2018-03,봉개동,14964,500786479
2018-03,삼도1동,94175,2813355225
2018-03,삼도2동,52102,1697861829
2018-03,삼양동,137361,4117759143
2018-03,서홍동,56767,2170632118
2018-03,성산읍,41257,1456829646
2018-03,송산동,15957,639062640
2018-03,아라동,198836,6003519930
2018-03,안덕면,39514,1388536314
2018-03,알수없음,5107,177446688
2018-03,애월읍,148555,4903372708
2018-03,연동,316717,9657156769
2018-03,영천동,21404,823412989
2018-03,예래동,16559,575400201
