base_date,emd_nm,long_resd_pop_cnt,long_work_pop_cnt,long_visit_pop_cnt,long_nationality_AUS,long_nationality_BGD,long_nationality_CAN,long_nationality_CHN,long_nationality_DEU,long_nationality_EGY,long_nationality_ETC,long_nationality_FRA,long_nationality_GBR,long_nationality_IDN,long_nationality_IND,long_nationality_JPN,long_nationality_KAZ,long_nationality_KGZ,long_nationality_KHM,long_nationality_LKA,long_nationality_MGL,long_nationality_MMR,long_nationality_MYS,long_nationality_NGR,long_nationality_NPL,long_nationality_NZL,long_nationality_PAK,long_nationality_PHL,long_nationality_RUS,long_nationality_THA,long_nationality_TWN,long_nationality_UKR,long_nationality_USA,long_nationality_UZB,long_nationality_VNM
2018-01,건입동,101804.44280000003,16943.8851,115266.87450000002,33,29,138,1466,3,0,755,3,101,1471,36,649,20,14,262,1068,220,597,90,0,572,7,118,956,238,45,652,9,715,122,1471
2018-01,구좌읍,221369.3838,34858.6714,132749.8157,40,0,747,1486,0,0,1068,26,44,1468,195,483,26,1,1422,1295,66,781,45,0,1481,34,72,923,569,722,154,7,1179,631,1479
2018-01,남원읍,214387.04280000002,32056.831000000002,161791.63399999993,107,10,147,1488,0,3,598,33,144,1486,47,153,18,23,1438,1351,107,1370,28,0,1487,72,429,849,265,231,27,0,526,218,1442
2018-01,노형동,1401165.2333000002,120223.7692,418261.9018,761,57,1046,1488,25,15,1188,257,627,1180,256,815,93,181,1171,1063,794,1038,306,1,950,122,36,839,1074,976,1119,6,1215,419,1487
2018-01,대륜동,111953.9188,10579.4808,130811.20370000001,563,0,1017,1484,174,1,1249,10,645,1243,47,645,33,0,983,109,379,122,131,6,551,569,2,821,427,111,693,0,954,291,1205
2018-01,대정읍,820990.7261999997,24687.5144,262440.2942,740,1,903,1487,32,328,1221,340,1309,1488,750,30,174,1,1404,1441,746,1146,400,0,274,1100,254,1032,272,855,945,67,1276,25,1388
2018-01,대천동,104213.7824,1667.9856999999997,59562.9988,184,0,487,1372,26,24,988,14,89,513,11,79,12,0,688,138,300,84,732,0,860,72,0,319,74,46,223,0,772,74,1056
2018-01,도두동,69275.8098,2257.2416,42793.22959999999,671,2,108,1414,0,3,238,17,43,138,1,69,21,2,722,32,92,55,9,0,55,11,3,42,53,148,382,0,381,81,674
2018-01,동홍동,230666.77140000006,23142.458500000004,95318.9428,79,0,787,1459,1,8,1240,3,365,1249,0,759,136,0,790,766,37,602,18,0,210,30,21,793,28,11,30,1,1407,556,1159
2018-01,봉개동,54223.461,8209.885,100796.31199999999,45,0,159,1367,0,0,201,16,24,1337,32,83,8,0,325,589,27,242,12,0,933,4,361,93,96,347,4,2,960,93,1353
2018-01,삼도1동,84472.0705,4936.6329,47948.3581,13,0,287,1356,0,3,332,4,19,173,0,118,3,0,365,16,158,2,62,0,474,4,13,37,57,601,142,3,735,628,1035
2018-01,삼도2동,92340.72790000001,3649.8191000000006,64156.21190000001,18,2,90,1267,48,0,661,4,17,638,83,585,26,64,14,57,490,12,73,0,127,4,22,112,671,80,741,0,796,41,835
2018-01,삼양동,65597.46329999999,7816.1454,45112.88700000001,3,0,530,1469,0,0,663,0,5,233,101,229,1,22,552,898,618,63,1,0,956,7,24,724,63,355,13,0,643,132,393
2018-01,서홍동,45240.21220000001,2947.0132999999996,60846.384600000005,26,48,445,1277,0,24,458,5,13,724,27,53,3,0,315,30,9,54,22,0,5,40,2,674,20,5,6,0,603,39,1103
2018-01,성산읍,325853.5044,28838.504999999997,172941.1501,39,23,841,1488,0,1,1012,31,42,1486,688,86,780,2,817,1332,78,806,124,0,763,25,162,897,430,1023,67,580,1248,40,1485
2018-01,송산동,69987.88369999999,5889.686700000003,141271.12999999998,266,0,85,1384,2,0,447,44,9,1316,26,4,240,0,9,701,1,94,4,0,12,3,57,24,86,27,1,0,977,69,1324
2018-01,아라동,794899.7457999998,59311.03490000002,129558.2969,767,596,1315,1488,3,0,1481,17,749,892,1486,905,8,17,758,1477,1258,417,6,0,848,41,1318,715,776,738,326,24,1187,65,1295
2018-01,안덕면,841295.2903000002,178381.183,258236.13079999996,799,100,1205,1488,807,56,1310,568,1094,1185,735,829,574,10,572,853,775,153,1235,0,997,900,72,961,312,934,358,45,1474,624,1281
2018-01,애월읍,766577.0782000001,97444.12019999998,544984.0099,814,827,1099,1488,53,48,1391,37,409,1488,252,893,913,266,1227,1280,917,1172,671,0,1461,815,118,1135,836,1166,604,388,1483,678,1488
2018-01,연동,1953698.1411000001,329203.91910000006,461918.7268,253,2,1064,1488,2,5,1448,84,788,554,445,793,747,795,1282,1310,1137,1026,668,0,950,93,43,864,1441,656,1277,111,1356,812,1178
2018-01,영천동,82045.01350000002,20397.5333,93204.69970000001,29,12,90,1464,1,0,397,2,16,1205,5,37,5,0,419,765,135,1031,14,0,1219,6,9,621,123,3,32,0,665,744,1333
2018-01,예래동,120115.95750000002,19814.322000000004,99063.93850000002,500,0,1006,1484,3,93,663,41,324,730,10,180,29,24,91,116,44,705,444,1,249,138,4,318,109,6,159,1,1349,235,941
2018-01,오라동,135147.5593,17879.0379,138623.4276,603,24,755,1480,0,0,725,41,175,713,63,345,23,9,103,61,648,39,17,0,1235,12,37,167,204,249,495,24,502,212,1379
2018-01,외도동,72348.062,774.2459000000001,35530.3219,21,0,44,1453,0,0,243,0,29,191,52,662,39,570,159,7,460,7,2,0,22,5,1,722,34,611,5,0,447,183,556
2018-01,용담1동,38272.5212,3066.9541,36771.154299999995,5,0,110,1109,6,0,65,4,9,141,4,30,6,0,25,23,130,13,24,0,278,20,18,68,221,298,257,0,214,13,882
2018-01,용담2동,102387.54200000003,21921.179500000002,127703.96359999999,147,60,578,1487,44,27,653,35,140,753,151,233,35,48,52,124,595,26,166,9,104,49,80,800,158,904,794,8,1098,70,925
2018-01,우도면,11912.310800000001,2278.2053,99262.65679999998,4,0,4,1143,0,2,181,1,12,1463,2,10,0,0,33,139,4,150,4,0,4,2,0,32,0,0,11,0,32,0,1243
2018-01,이도1동,72578.6613,12318.3056,80687.71829999998,20,8,163,1397,6,1,473,13,107,435,44,637,8,5,365,120,447,28,3,0,414,6,54,774,304,184,266,0,789,150,970
2018-01,이도2동,392083.96770000004,51080.958999999995,160453.18319999997,513,4,843,1488,52,2,966,691,884,743,335,1340,13,35,756,538,1063,136,5,0,1124,26,244,656,671,646,799,14,1226,746,1225
2018-01,이호동,61836.872,5345.660200000001,49824.04259999999,62,0,54,1349,0,1,72,3,55,291,0,44,7,10,593,5,31,1,0,0,991,1,3,464,55,550,119,0,581,749,772
2018-01,일도1동,47544.66580000001,10681.219000000003,59952.904299999995,1,6,54,1453,3,0,675,5,20,999,13,103,7,3,54,264,42,6,7,0,699,6,20,288,69,88,474,0,734,423,601
2018-01,일도2동,190176.63249999995,7862.233500000001,66032.3643,4,4,375,1429,1,0,654,13,57,1173,12,691,6,3,780,307,356,86,29,0,307,15,10,1101,691,392,82,2,819,262,1066
2018-01,정방동,122892.7831,38433.480500000005,160351.76640000002,19,24,183,1469,22,0,616,89,250,1097,12,82,15,0,283,14,12,60,8,15,1,14,13,631,38,7,4,0,421,50,1304
2018-01,조천읍,281525.44519999996,21438.232600000003,161373.7126,56,0,602,1488,0,6,980,92,46,1339,149,184,41,1,990,1488,310,970,83,0,468,780,38,1479,95,709,20,27,893,161,1425
2018-01,중문동,198417.48930000002,14737.534300000003,171211.9401,588,0,736,1488,4,3,1313,11,138,1303,33,39,10,7,191,727,29,54,510,0,917,114,1,545,716,113,75,4,890,80,1271
2018-01,중앙동,45700.68110000001,6307.4692,44123.7776,21,0,591,1398,11,0,351,3,20,215,8,58,2,0,140,54,8,2,11,11,9,4,1,525,9,4,7,0,783,20,802
2018-01,천지동,14223.7185,5566.392100000001,36874.56720000001,9,0,227,1122,0,0,671,7,40,666,0,10,3,0,351,50,6,30,16,18,38,5,0,524,3,2,1,0,206,1,863
2018-01,추자면,26198.727099999996,10054.9598,135552.08239999998,4,25,81,1171,0,2,103,0,2,1369,109,12,5,0,134,495,5,305,1,0,394,23,143,407,5,57,4,7,558,37,1477
2018-01,표선면,242044.63239999991,23528.629799999995,85649.3193,121,31,1055,1436,0,1,806,93,27,1483,66,28,549,0,1065,1327,282,1017,220,0,858,332,1250,795,66,552,43,0,1015,8,1210
2018-01,한경면,132899.202,4413.8072999999995,87537.61469999998,12,0,696,1463,3,0,878,0,689,1450,267,12,35,0,1076,1213,200,333,4,0,1175,22,30,784,129,573,22,141,634,25,1200
2018-01,한림읍,1019369.8435999999,112924.65149999999,315061.68480000005,92,58,835,1488,42,26,1242,8,865,1488,142,417,278,488,1349,1414,892,1197,10,0,1379,255,4,1346,650,1145,80,164,1408,785,1488
2018-01,화북동,193541.66190000004,8310.142399999999,44324.34739999999,13,0,238,1373,0,0,893,1,99,665,141,747,6,648,555,852,73,43,7,0,1054,8,862,884,68,796,5,0,754,66,844
2018-01,효돈동,28257.518000000007,5957.2724,19488.7386,351,0,22,985,1,0,143,0,6,300,2,8,4,0,307,935,3,480,0,0,82,2,20,1311,41,1,4,0,156,124,252
2018-02,건입동,83297.22499999999,13242.144400000003,97014.35740000001,55,56,135,1308,2,56,537,2,86,1268,60,604,11,5,217,621,128,626,39,79,488,10,154,667,289,44,699,1,623,122,1048
2018-02,구좌읍,228365.60119999998,35138.64490000001,84617.07570000002,20,5,897,1227,27,7,777,21,27,1304,186,637,59,2,697,1344,185,889,9,0,1344,27,13,854,592,601,54,1,1089,599,1308
2018-02,남원읍,193626.93060000002,25946.99,167815.8119,119,47,97,1343,2,32,366,42,7,1341,102,26,6,2,892,1051,64,1314,50,0,1339,25,182,867,98,49,66,0,691,434,1304
2018-02,노형동,1102498.6732,84132.7697,342215.04529999994,734,63,1025,1344,9,10,992,9,872,1053,266,771,84,154,1110,814,864,1334,156,0,835,68,113,822,782,923,867,25,1157,589,1302
2018-02,대륜동,110741.20310000001,10689.962700000002,123795.4063,497,27,789,1322,41,6,970,15,545,994,33,620,55,31,689,201,412,61,164,0,565,445,27,995,344,38,557,0,969,465,1053
2018-02,대정읍,703163.9440000001,19718.545200000004,244811.4206,687,24,837,1342,23,471,914,332,881,1344,674,47,122,0,1308,1344,659,764,443,0,332,952,240,820,177,723,724,12,1282,39,1257
2018-02,대천동,98905.47549999999,838.2913,70682.53839999999,141,40,214,1208,0,0,966,13,91,684,36,75,14,92,678,208,393,37,461,0,822,59,2,579,117,56,174,0,791,179,1125
2018-02,도두동,66973.10100000001,7564.864900000001,50105.92129999999,591,1,190,1340,0,1,271,29,76,43,5,83,14,3,668,1,115,9,7,0,71,11,24,80,23,193,357,1,268,85,986
2018-02,동홍동,172165.1351,16853.769799999995,89191.7887,309,27,672,1262,5,3,853,31,142,1022,28,664,133,8,453,163,24,487,9,1,150,16,5,723,17,33,15,0,827,346,1125
