base_date,emd_nm,resident_resid_reg_pop,resident_foreign_pop,resident_total_pop
2018-01,건입동,9800,228,10028
2018-01,구좌읍,15574,552,16126
2018-01,남원읍,19112,628,19740
2018-01,노형동,53369,1589,54958
2018-01,대륜동,13473,178,13651
2018-01,대정읍,21085,1518,22603
2018-01,대천동,13160,244,13404
2018-01,도두동,3026,98,3124
2018-01,동홍동,22693,1266,23959
2018-01,봉개동,3927,76,4003
2018-01,삼도1동,14405,141,14546
2018-01,삼도2동,8688,222,8910
2018-01,삼양동,23835,245,24080
2018-01,서홍동,10637,127,10764
2018-01,성산읍,15338,1575,16913
2018-01,송산동,4455,523,4978
2018-01,아라동,30472,995,31467
2018-01,안덕면,11462,522,11984
2018-01,애월읍,34271,935,35206
2018-01,연동,41609,1629,43238
2018-01,영천동,5166,171,5337
2018-01,예래동,3933,143,4076
2018-01,오라동,13636,193,13829
2018-01,외도동,20828,277,21105
2018-01,용담1동,7801,86,7887
2018-01,용담2동,15713,203,15916
2018-01,우도면,1856,32,1888
2018-01,이도1동,7955,132,8087
2018-01,이도2동,50103,558,50661
2018-01,이호동,4168,137,4305
2018-01,일도1동,3039,88,3127
2018-01,일도2동,34985,276,35261
2018-01,정방동,2461,96,2557
2018-01,조천읍,23456,526,23982
2018-01,중문동,10696,279,10975
2018-01,중앙동,3999,107,4106
2018-01,천지동,3547,96,3643
2018-01,추자면,1862,363,2225
2018-01,표선면,12253,409,12662
2018-01,한경면,8950,319,9269
2018-01,한림읍,20889,3530,24419
2018-01,화북동,25155,361,25516
2018-01,효돈동,5325,82,5407
2018-02,건입동,9814,224,10038
2018-02,구좌읍,15610,553,16163
2018-02,남원읍,19142,635,19777
2018-02,노형동,53369,1664,55033
2018-02,대륜동,13519,180,13699
2018-02,대정읍,21127,1503,22630
2018-02,대천동,13253,243,13496
2018-02,도두동,3033,101,3134
2018-02,동홍동,22727,1255,23982
2018-02,봉개동,3960,77,4037
2018-02,삼도1동,14410,147,14557
2018-02,삼도2동,8696,225,8921
2018-02,삼양동,24065,248,24313
2018-02,서홍동,10666,123,10789
2018-02,성산읍,15385,1560,16945
2018-02,송산동,4466,529,4995
2018-02,아라동,30993,980,31973
2018-02,안덕면,11545,533,12078
2018-02,애월읍,34386,1040,35426
2018-02,연동,41488,1644,43132
2018-02,영천동,5172,170,5342
2018-02,예래동,3957,139,4096
2018-02,오라동,13729,192,13921
2018-02,외도동,20870,272,21142
2018-02,용담1동,7752,84,7836
2018-02,용담2동,15638,205,15843
2018-02,우도면,1857,32,1889
2018-02,이도1동,7926,124,8050
2018-02,이도2동,49905,548,50453
2018-02,이호동,4177,139,4316
2018-02,일도1동,2995,89,3084
2018-02,일도2동,34953,278,35231
2018-02,정방동,2442,101,2543
2018-02,조천읍,23511,520,24031
2018-02,중문동,10754,282,11036
2018-02,중앙동,3959,111,4070
2018-02,천지동,3537,97,3634
2018-02,추자면,1885,359,2244
2018-02,표선면,12284,399,12683
2018-02,한경면,8965,311,9276
2018-02,한림읍,20885,3542,24427
2018-02,화북동,25063,366,25429
2018-02,효돈동,5319,82,5401
2018-03,건입동,9783,222,10005
2018-03,구좌읍,15596,552,16148
2018-03,남원읍,19178,628,19806
2018-03,노형동,53317,1683,55000
2018-03,대륜동,13669,182,13851
2018-03,대정읍,21171,1499,22670
2018-03,대천동,13348,244,13592
2018-03,도두동,3052,98,3150
2018-03,동홍동,22717,1246,23963
2018-03,봉개동,3979,73,4052
2018-03,삼도1동,14380,154,14534
2018-03,삼도2동,8675,216,8891
2018-03,삼양동,24107,248,24355
2018-03,서홍동,10668,126,10794
2018-03,성산읍,15412,1539,16951
2018-03,송산동,4462,526,4988
2018-03,아라동,31460,1091,32551
2018-03,안덕면,11595,533,12128
2018-03,애월읍,34491,1029,35520
2018-03,연동,41434,1670,43104
2018-03,영천동,5169,169,5338
2018-03,예래동,3983,140,4123
2018-03,오라동,13835,191,14026
2018-03,외도동,20992,272,21264
2018-03,용담1동,7742,85,7827
2018-03,용담2동,15585,206,15791
2018-03,우도면,1865,32,1897
2018-03,이도1동,7928,123,8051
2018-03,이도2동,49821,567,50388
2018-03,이호동,4258,144,4402
2018-03,일도1동,2977,86,3063
2018-03,일도2동,34960,274,35234
2018-03,정방동,2425,105,2530
2018-03,조천읍,23583,528,24111
2018-03,중문동,10805,280,11085
2018-03,중앙동,3935,111,4046
2018-03,천지동,3532,97,3629
2018-03,추자면,1858,350,2208
2018-03,표선면,12278,403,12681
2018-03,한경면,8999,308,9307
2018-03,한림읍,20996,3536,24532
2018-03,화북동,25103,363,25466
2018-03,효돈동,5318,81,5399
2018-04,건입동,9788,229,10017
2018-04,구좌읍,15608,550,16158
2018-04,남원읍,19203,633,19836
2018-04,노형동,53368,1770,55138
2018-04,대륜동,13687,183,13870
2018-04,대정읍,21213,1507,22720
2018-04,대천동,13351,245,13596
2018-04,도두동,3034,99,3133
2018-04,동홍동,22721,1239,23960
2018-04,봉개동,3982,75,4057
2018-04,삼도1동,14342,171,14513
2018-04,삼도2동,8656,228,8884
2018-04,삼양동,24143,249,24392
2018-04,서홍동,10644,123,10767
2018-04,성산읍,15446,1548,16994
2018-04,송산동,4453,513,4966
2018-04,아라동,31816,1065,32881
2018-04,안덕면,11677,549,12226
2018-04,애월읍,34628,1013,35641
2018-04,연동,41427,1688,43115
2018-04,영천동,5187,174,5361
2018-04,예래동,4019,148,4167
2018-04,오라동,13932,191,14123
2018-04,외도동,21041,277,21318
2018-04,용담1동,7717,84,7801
2018-04,용담2동,15590,223,15813
2018-04,우도면,1873,34,1907
2018-04,이도1동,7917,117,8034
2018-04,이도2동,49813,572,50385
2018-04,이호동,4291,139,4430
2018-04,일도1동,2983,86,3069
2018-04,일도2동,34937,276,35213
2018-04,정방동,2417,105,2522
2018-04,조천읍,23659,538,24197
2018-04,중문동,10873,272,11145
2018-04,중앙동,3939,109,4048
2018-04,천지동,3530,96,3626
2018-04,추자면,1845,344,2189
2018-04,표선면,12313,403,12716
2018-04,한경면,9031,306,9337
2018-04,한림읍,21036,3570,24606
2018-04,화북동,25069,361,25430
2018-04,효돈동,5312,82,5394
2018-05,건입동,9800,238,10038
2018-05,구좌읍,15645,559,16204
2018-05,남원읍,19252,638,19890
2018-05,노형동,53472,1973,55445
2018-05,대륜동,13743,177,13920
2018-05,대정읍,21292,1524,22816
2018-05,대천동,13358,239,13597
2018-05,도두동,3018,113,3131
2018-05,동홍동,22713,1235,23948
2018-05,봉개동,3979,77,4056
2018-05,삼도1동,14307,435,14742
2018-05,삼도2동,8617,254,8871
2018-05,삼양동,24208,247,24455
2018-05,서홍동,10647,122,10769
2018-05,성산읍,15466,1558,17024
2018-05,송산동,4425,524,4949
2018-05,아라동,32026,1071,33097
2018-05,안덕면,11720,559,12279
2018-05,애월읍,34705,1038,35743
2018-05,연동,41458,1705,43163
2018-05,영천동,5205,176,5381
2018-05,예래동,4034,159,4193
2018-05,오라동,13994,198,14192
2018-05,외도동,21071,284,21355
2018-05,용담1동,7702,86,7788
2018-05,용담2동,15607,226,15833
2018-05,우도면,1878,33,1911
2018-05,이도1동,7907,118,8025
2018-05,이도2동,49883,694,50577
2018-05,이호동,4320,139,4459
2018-05,일도1동,2985,96,3081
2018-05,일도2동,34872,269,35141
2018-05,정방동,2430,106,2536
2018-05,조천읍,23718,558,24276
2018-05,중문동,10916,277,11193
2018-05,중앙동,3940,104,4044
2018-05,천지동,3567,104,3671
2018-05,추자면,1825,335,2160
2018-05,표선면,12321,414,12735
2018-05,한경면,9093,313,9406
2018-05,한림읍,21112,3603,24715
2018-05,화북동,25083,368,25451
2018-05,효돈동,5319,83,5402
2018-06,건입동,9782,249,10031
2018-06,구좌읍,15672,589,16261
2018-06,남원읍,19250,680,19930
2018-06,노형동,53568,2012,55580
2018-06,대륜동,13775,182,13957
2018-06,대정읍,21247,1525,22772
2018-06,대천동,13358,239,13597
2018-06,도두동,3036,114,3150
2018-06,동홍동,22751,1243,23994
2018-06,봉개동,3974,80,4054
2018-06,삼도1동,14279,287,14566
2018-06,삼도2동,8601,266,8867
2018-06,삼양동,24306,240,24546
2018-06,서홍동,10641,125,10766
2018-06,성산읍,15495,1638,17133
2018-06,송산동,4420,531,4951
2018-06,아라동,32272,1069,33341
2018-06,안덕면,11715,592,12307
2018-06,애월읍,34831,1031,35862
2018-06,연동,41409,1705,43114
2018-06,영천동,5200,177,5377
2018-06,예래동,4054,180,4234
2018-06,오라동,14217,206,14423
2018-06,외도동,21145,291,21436
2018-06,용담1동,7653,84,7737
2018-06,용담2동,15567,235,15802
2018-06,우도면,1885,34,1919
2018-06,이도1동,7880,121,8001
2018-06,이도2동,49914,663,50577
2018-06,이호동,4354,147,4501
2018-06,일도1동,2976,96,3072
2018-06,일도2동,34782,279,35061
2018-06,정방동,2419,106,2525
2018-06,조천읍,23780,570,24350
2018-06,중문동,10984,291,11275
2018-06,중앙동,3940,104,4044
2018-06,천지동,3560,105,3665
2018-06,추자면,1832,344,2176
2018-06,표선면,12333,420,12753
2018-06,한경면,9094,343,9437
2018-06,한림읍,21101,3667,24768
2018-06,화북동,25091,374,25465
2018-06,효돈동,5322,81,5403
2018-07,건입동,9775,258,10033
2018-07,구좌읍,15715,601,16316
2018-07,남원읍,19190,700,19890
2018-07,노형동,53580,2038,55618
2018-07,대륜동,13853,185,14038
2018-07,대정읍,21280,1514,22794
2018-07,대천동,13511,243,13754
2018-07,도두동,3065,136,3201
2018-07,동홍동,22781,1252,24033
2018-07,봉개동,4003,83,4086
2018-07,삼도1동,14281,236,14517
2018-07,삼도2동,8567,270,8837
2018-07,삼양동,24464,242,24706
2018-07,서홍동,10635,124,10759
2018-07,성산읍,15491,1659,17150
2018-07,송산동,4409,549,4958
2018-07,아라동,32583,1066,33649
2018-07,안덕면,11746,646,12392
2018-07,애월읍,34943,1035,35978
2018-07,연동,41462,1721,43183
2018-07,영천동,5221,189,5410
2018-07,예래동,4026,228,4254
2018-07,오라동,14287,217,14504
2018-07,외도동,21232,291,21523
