base_date,emd_nm,waste_em_cnt,waste_em_g,waste_pay_amt
2018-01,건입동,18416,45646550,1364804
2018-01,남원읍,9570,42437700,1270773
2018-01,노형동,113990,265018400,7883340
2018-01,대륜동,21666,57612600,1676850
2018-01,대정읍,10185,38885550,1164122
2018-01,대천동,20280,53858550,1593709
2018-01,도두동,5338,14694200,439510
2018-01,동홍동,45936,118701000,3501286
2018-01,봉개동,3709,10390450,310803
2018-01,삼도1동,28427,71078500,2125206
2018-01,삼도2동,16603,39820100,1176372
2018-01,삼양동,42726,102218000,3015893
2018-01,서홍동,15597,47230450,1397423
2018-01,성산읍,2456,11343100,339679
2018-01,송산동,6039,22834700,666988
2018-01,아라동,51381,120076450,3565424
2018-01,안덕면,2664,10007850,299586
2018-01,알수없음,1107,8880900,266153
2018-01,애월읍,3702,7744200,231453
2018-01,연동,87893,206889500,6167585
2018-01,영천동,5859,26620950,793393
2018-01,예래동,2951,12408800,349560
2018-01,오라동,21959,54526600,1630298
2018-01,외도동,40581,95864700,2864007
2018-01,용담1동,14853,40712250,1217614
2018-01,용담2동,28816,68654450,2052466
2018-01,이도1동,17909,51373100,1536695
2018-01,이도2동,99670,246651600,7371540
2018-01,이호동,6890,17513450,523688
2018-01,일도1동,5813,21302450,637606
2018-01,일도2동,67736,170627900,5102131
2018-01,정방동,6692,26958250,807070
2018-01,중문동,17791,52591350,1509185
2018-01,중앙동,11009,52602100,1574992
2018-01,천지동,9070,38935950,1132525
2018-01,표선면,3191,12716050,380699
2018-01,화북동,51690,114334400,3417187
2018-01,효돈동,4671,19263950,570534
2018-02,건입동,17491,42953550,1284216
2018-02,남원읍,8588,37088050,1110498
2018-02,노형동,103571,243744900,7286110
2018-02,대륜동,19252,51722150,1513367
2018-02,대정읍,9530,36731400,1099621
2018-02,대천동,17523,44956800,1337892
2018-02,도두동,4940,14004850,418870
2018-02,동홍동,43240,113812050,3355444
2018-02,봉개동,3511,9991650,298897
2018-02,삼도1동,27127,68419050,2045801
2018-02,삼도2동,15629,36785950,1086209
2018-02,삼양동,40524,96713450,2857023
2018-02,서홍동,15013,45843500,1358929
2018-02,성산읍,2323,10137100,303538
2018-02,송산동,6333,22845650,668102
2018-02,아라동,47792,113409350,3383674
2018-02,안덕면,2387,8852300,265021
2018-02,알수없음,950,7543950,226090
2018-02,애월읍,3182,6799950,203217
