,aptCode,emd_nm
1,W6X001,건입동
2,W6X002,노형동
3,W6X003,노형동
4,W6X004,노형동
5,W6X005,연동
6,W6X006,연동
7,W6X007,일도2동
8,W6X008,연동
10,W6X00A,화북동
11,W6X00B,아라동
12,W6X00C,외도동
13,W6X00D,노형동
14,W6X00E,노형동
15,W6X00F,노형동
16,W6X010,아라동
18,W6X012,외도동
19,W6X013,외도동
20,W6X014,노형동
21,W6X015,이도2동
22,W6X016,이도2동
23,W6X017,이도2동
24,W6X018,일도2동
25,W6X019,일도2동
26,W6X01A,노형동
27,W6X01B,노형동
28,W6X01C,연동
29,W6X01D,노형동
30,W6X01E,연동
31,W6X01F,노형동
32,W6X020,화북동
33,W6X021,화북동
34,W6X022,화북동
35,W6X023,화북동
36,W6X024,일도2동
38,W6X026,이도2동
39,W6X027,봉개동
40,W6X028,화북동
41,W6X029,연동
42,W6X02A,노형동
43,W6X02B,노형동
44,W6X02C,노형동
45,W6X02D,노형동
46,W6X02E,노형동
47,W6X02F,노형동
48,W6X030,노형동
49,W6X031,노형동
50,W6X032,노형동
51,W6X033,노형동
52,W6X034,노형동
53,W6X035,연동
54,W6X036,연동
55,W6X037,노형동
56,W6X038,일도2동
60,W6X03C,일도2동
61,W6X03D,삼도1동
62,W6X03E,오라동
63,W6X03F,용담2동
64,W6X040,용담2동
65,W6X041,이도1동
66,W6X042,이도1동
67,W6X043,이도2동
68,W6X044,일도2동
69,W6X045,일도2동
70,W6X046,일도2동
71,W6X047,일도2동
72,W6X048,일도2동
73,W6X049,일도2동
74,W6X04A,일도2동
75,W6X04B,일도2동
76,W6X04C,일도2동
77,W6X04D,일도2동
78,W6X04E,일도2동
79,W6X04F,봉개동
80,W6X050,삼양동
81,W6X051,화북동
82,W6X052,아라동
83,W6X053,아라동
84,W6X054,아라동
85,W6X055,아라동
88,W6X058,건입동
90,W6X05A,삼양동
92,W6X05C,일도2동
93,W6X05D,일도2동
94,W6X05E,용담2동
95,W6X05F,노형동
96,W6X060,아라동
97,W6X061,아라동
98,W6X062,외도동
99,W6X063,이도2동
100,W6X064,노형동
102,W6X066,이도2동
103,W6X067,화북동
104,W6X068,삼양동
105,W6X069,외도동
106,W6X06A,조천읍
107,W6X06B,조천읍
108,W6X06C,조천읍
109,W6X06D,조천읍
110,W6X06E,조천읍
111,W6X06F,조천읍
112,W6X070,화북동
113,W6X071,도두동
114,W6X072,이도2동
115,W6X073,노형동
116,W6X074,일도2동
117,W6X075,화북동
118,W6X076,삼양동
119,W6X077,도두동
121,W6X079,아라동
122,W6X07A,조천읍
123,W6X07B,조천읍
124,W6X07C,조천읍
125,W6X07D,조천읍
126,W6X07E,조천읍
127,W6X07F,조천읍
128,W6X080,봉개동
129,W6X081,오라동
130,W6X082,일도2동
131,W6X083,오라동
132,W6X084,오라동
136,W6X088,용담1동
137,W6X089,조천읍
138,W6X08A,조천읍
139,W6X08B,조천읍
140,W6X08C,조천읍
141,W6X08D,조천읍
142,W6X08E,조천읍
143,W6X08F,조천읍
144,W6X090,조천읍
145,W6X091,조천읍
146,W6X092,조천읍
147,W6X093,조천읍
148,W6X094,조천읍
149,W6X095,조천읍
150,W6X096,조천읍
151,W6X097,조천읍
152,W6X098,조천읍
153,W6X099,조천읍
154,W6X09A,조천읍
155,W6X09B,조천읍
156,W6X09C,조천읍
157,W6X09D,조천읍
158,W6X09E,조천읍
159,W6X09F,조천읍
160,W6X100,외도동
161,W6X101,삼양동
162,W6X102,화북동
163,W6X103,일도2동
164,W6X104,아라동
165,W6X105,아라동
166,W6X106,아라동
167,W6X107,아라동
170,W6X10A,조천읍
171,W6X10B,조천읍
172,W6X10C,조천읍
173,W6X10D,조천읍
174,W6X10E,조천읍
175,W6X10F,조천읍
179,W6X113,오라동
180,W6X114,오라동
181,W6X115,연동
182,W6X116,연동
183,W6X117,연동
184,W6X118,연동
185,W6X119,연동
186,W6X11A,조천읍
187,W6X11B,조천읍
188,W6X11C,조천읍
189,W6X11D,조천읍
190,W6X11E,조천읍
191,W6X11F,애월읍
192,W6X120,노형동
193,W6X121,노형동
194,W6X122,노형동
195,W6X123,노형동
196,W6X124,노형동
197,W6X125,외도동
198,W6X126,애월읍
199,W6X127,삼양동
200,W6X128,삼양동
201,W6X129,삼도2동
202,W6X12A,애월읍
203,W6X12B,애월읍
204,W6X12C,애월읍
205,W6X12D,애월읍
206,W6X12E,애월읍
207,W6X12F,애월읍
208,W6X130,삼도2동
209,W6X131,삼도2동
210,W6X132,삼도2동
211,W6X133,삼도2동
212,W6X134,삼도2동
213,W6X135,삼도2동
214,W6X136,삼도2동
215,W6X137,삼도2동
216,W6X138,삼도2동
217,W6X139,삼도2동
218,W6X13A,애월읍
219,W6X13B,애월읍
220,W6X13C,애월읍
221,W6X13D,애월읍
222,W6X13E,애월읍
223,W6X13F,애월읍
224,W6X140,삼도2동
225,W6X141,삼도2동
226,W6X142,삼도2동
227,W6X143,삼도2동
228,W6X144,삼도2동
229,W6X145,삼도2동
230,W6X146,삼도2동
231,W6X147,삼도2동
232,W6X148,삼도2동
233,W6X149,삼도2동
234,W6X14A,애월읍
235,W6X14B,애월읍
236,W6X14C,애월읍
237,W6X14D,애월읍
238,W6X14E,애월읍
239,W6X14F,애월읍
240,W6X150,삼도2동
241,W6X151,삼도2동
242,W6X152,삼도2동
243,W6X153,삼도2동
244,W6X154,삼도2동
245,W6X155,삼도2동
246,W6X156,삼도2동
247,W6X157,삼도2동
248,W6X158,삼도2동
249,W6X159,아라동
250,W6X15A,애월읍
251,W6X15B,애월읍
252,W6X15C,애월읍
253,W6X15D,애월읍
254,W6X15E,한림읍
255,W6X15F,한림읍
256,W6X160,오라동
258,W6X162,일도1동
259,W6X163,일도1동
260,W6X164,일도1동
261,W6X165,일도1동
262,W6X166,일도1동
263,W6X167,일도1동
264,W6X168,일도1동
265,W6X169,일도1동
266,W6X16A,한림읍
267,W6X16B,한림읍
268,W6X16C,한림읍
269,W6X16D,한림읍
270,W6X16E,한림읍
271,W6X16F,한림읍
272,W6X170,일도1동
273,W6X171,일도1동
274,W6X172,일도1동
275,W6X173,일도1동
276,W6X174,일도1동
277,W6X175,이도1동
278,W6X176,이도1동
279,W6X177,이도1동
280,W6X178,이도1동
281,W6X179,이도1동
282,W6X17A,한림읍
283,W6X17B,한림읍
284,W6X17C,한림읍
