,base_date,aptCode,emd_nm,disQuantity,disCount
0,2018-01,W6X001,건입동,,
1,2018-02,W6X001,건입동,,
2,2018-03,W6X001,건입동,,
3,2018-04,W6X001,건입동,,
4,2018-05,W6X001,건입동,,
5,2018-06,W6X001,건입동,,
6,2018-07,W6X001,건입동,,
7,2018-08,W6X001,건입동,,
8,2018-09,W6X001,건입동,,
9,2018-10,W6X001,건입동,,
10,2018-11,W6X001,건입동,,
11,2018-12,W6X001,건입동,,
12,2019-01,W6X001,건입동,,
13,2019-02,W6X001,건입동,,
14,2019-03,W6X001,건입동,,
15,2019-04,W6X001,건입동,,
16,2019-05,W6X001,건입동,,
17,2019-06,W6X001,건입동,,
18,2019-07,W6X001,건입동,,
19,2019-08,W6X001,건입동,,
20,2019-09,W6X001,건입동,,
21,2019-10,W6X001,건입동,,
22,2019-11,W6X001,건입동,,
23,2019-12,W6X001,건입동,,
24,2020-01,W6X001,건입동,,
25,2020-02,W6X001,건입동,,
26,2020-03,W6X001,건입동,,
27,2020-04,W6X001,건입동,,
28,2020-05,W6X001,건입동,,
29,2020-06,W6X001,건입동,,
30,2020-07,W6X001,건입동,,
31,2020-08,W6X001,건입동,,
32,2020-09,W6X001,건입동,,
33,2020-10,W6X001,건입동,,
34,2020-11,W6X001,건입동,,
35,2020-12,W6X001,건입동,,
36,2021-01,W6X001,건입동,,
37,2021-02,W6X001,건입동,,
38,2021-03,W6X001,건입동,,
39,2021-04,W6X001,건입동,,
40,2021-05,W6X001,건입동,,
41,2021-06,W6X001,건입동,,
42,2018-01,W6X002,노형동,,
43,2018-02,W6X002,노형동,,
44,2018-03,W6X002,노형동,,
45,2018-04,W6X002,노형동,,
46,2018-05,W6X002,노형동,,
47,2018-06,W6X002,노형동,,
48,2018-07,W6X002,노형동,,
49,2018-08,W6X002,노형동,,
50,2018-09,W6X002,노형동,,
51,2018-10,W6X002,노형동,,
52,2018-11,W6X002,노형동,,
53,2018-12,W6X002,노형동,,
54,2019-01,W6X002,노형동,,
55,2019-02,W6X002,노형동,,
56,2019-03,W6X002,노형동,,
57,2019-04,W6X002,노형동,,
58,2019-05,W6X002,노형동,,
59,2019-06,W6X002,노형동,,
60,2019-07,W6X002,노형동,,
61,2019-08,W6X002,노형동,,
62,2019-09,W6X002,노형동,,
63,2019-10,W6X002,노형동,,
64,2019-11,W6X002,노형동,,
65,2019-12,W6X002,노형동,,
66,2020-01,W6X002,노형동,,
67,2020-02,W6X002,노형동,,
68,2020-03,W6X002,노형동,,
69,2020-04,W6X002,노형동,,
70,2020-05,W6X002,노형동,,
71,2020-06,W6X002,노형동,,
72,2020-07,W6X002,노형동,,
73,2020-08,W6X002,노형동,,
74,2020-09,W6X002,노형동,,
75,2020-10,W6X002,노형동,,
76,2020-11,W6X002,노형동,,
77,2020-12,W6X002,노형동,,
78,2021-01,W6X002,노형동,,
79,2021-02,W6X002,노형동,,
80,2021-03,W6X002,노형동,,
81,2021-04,W6X002,노형동,,
82,2021-05,W6X002,노형동,,
83,2021-06,W6X002,노형동,,
84,2018-01,W6X003,노형동,,
85,2018-02,W6X003,노형동,,
86,2018-03,W6X003,노형동,,
87,2018-04,W6X003,노형동,,
88,2018-05,W6X003,노형동,,
89,2018-06,W6X003,노형동,,
90,2018-07,W6X003,노형동,,
91,2018-08,W6X003,노형동,,
92,2018-09,W6X003,노형동,,
93,2018-10,W6X003,노형동,,
94,2018-11,W6X003,노형동,,
95,2018-12,W6X003,노형동,,
96,2019-01,W6X003,노형동,,
97,2019-02,W6X003,노형동,,
98,2019-03,W6X003,노형동,,
99,2019-04,W6X003,노형동,,
100,2019-05,W6X003,노형동,,
101,2019-06,W6X003,노형동,,
102,2019-07,W6X003,노형동,,
103,2019-08,W6X003,노형동,,
104,2019-09,W6X003,노형동,,
105,2019-10,W6X003,노형동,,
106,2019-11,W6X003,노형동,,
107,2019-12,W6X003,노형동,,
108,2020-01,W6X003,노형동,,
109,2020-02,W6X003,노형동,,
110,2020-03,W6X003,노형동,,
111,2020-04,W6X003,노형동,,
112,2020-05,W6X003,노형동,,
113,2020-06,W6X003,노형동,,
114,2020-07,W6X003,노형동,,
115,2020-08,W6X003,노형동,,
116,2020-09,W6X003,노형동,,
117,2020-10,W6X003,노형동,,
118,2020-11,W6X003,노형동,,
119,2020-12,W6X003,노형동,,
120,2021-01,W6X003,노형동,,
121,2021-02,W6X003,노형동,,
122,2021-03,W6X003,노형동,,
123,2021-04,W6X003,노형동,,
124,2021-05,W6X003,노형동,,
125,2021-06,W6X003,노형동,,
126,2018-01,W6X004,노형동,,
127,2018-02,W6X004,노형동,,
128,2018-03,W6X004,노형동,,
129,2018-04,W6X004,노형동,,
130,2018-05,W6X004,노형동,,
131,2018-06,W6X004,노형동,,
132,2018-07,W6X004,노형동,,
133,2018-08,W6X004,노형동,,
134,2018-09,W6X004,노형동,,
135,2018-10,W6X004,노형동,,
136,2018-11,W6X004,노형동,,
137,2018-12,W6X004,노형동,,
138,2019-01,W6X004,노형동,,
139,2019-02,W6X004,노형동,,
140,2019-03,W6X004,노형동,,
141,2019-04,W6X004,노형동,,
142,2019-05,W6X004,노형동,,
143,2019-06,W6X004,노형동,,
144,2019-07,W6X004,노형동,,
145,2019-08,W6X004,노형동,,
146,2019-09,W6X004,노형동,,
147,2019-10,W6X004,노형동,,
148,2019-11,W6X004,노형동,,
149,2019-12,W6X004,노형동,,
150,2020-01,W6X004,노형동,,
151,2020-02,W6X004,노형동,,
152,2020-03,W6X004,노형동,,
153,2020-04,W6X004,노형동,,
