base_date,emd_nm,disQuantity,disCount
18-Jan,건입동,37487850,14736
18-Jan,구좌읍,,
18-Jan,노형동,285167500,121261
18-Jan,도두동,12803800,4541
18-Jan,봉개동,12343600,4315
18-Jan,삼도1동,68417500,27545
18-Jan,삼도2동,41918700,17672
18-Jan,삼도동,,
18-Jan,삼양동,66711050,26512
18-Jan,아라동,130723450,56357
18-Jan,애월읍,7744200,3634
18-Jan,연동,265368450,113988
18-Jan,오라동,54214700,21464
18-Jan,외도동,110287700,47638
18-Jan,용담1동,37279250,13468
18-Jan,용담2동,66156150,27949
18-Jan,이도1동,52518150,18505
18-Jan,이도2동,213025400,84772
18-Jan,이호동,16704450,6619
18-Jan,일도1동,26051750,7430
18-Jan,일도2동,164397000,65254
18-Jan,조천읍,,
18-Jan,한경면,,
18-Jan,한림읍,,
18-Jan,화북동,116641150,53113
18-Feb,건입동,35042750,13841
18-Feb,구좌읍,,
18-Feb,노형동,232371550,97621
18-Feb,도두동,12203250,4177
18-Feb,봉개동,11632850,3993
18-Feb,삼도1동,65913000,26261
18-Feb,삼도2동,36213450,15382
18-Feb,삼도동,,
18-Feb,삼양동,63842800,25593
18-Feb,아라동,105074400,43856
18-Feb,애월읍,6799950,3142
18-Feb,연동,206420850,86458
18-Feb,오라동,50805950,19855
18-Feb,외도동,95425900,39970
18-Feb,용담1동,34181150,12709
18-Feb,용담2동,62165650,25929
18-Feb,이도1동,47514750,16942
18-Feb,이도2동,195374800,77189
18-Feb,이호동,15568250,6225
18-Feb,일도1동,23258800,6919
18-Feb,일도2동,155840300,62188
18-Feb,조천읍,,
18-Feb,한경면,,
18-Feb,한림읍,,
18-Feb,화북동,107123400,48589
18-Mar,건입동,38383450,15407
18-Mar,구좌읍,,
18-Mar,노형동,256242750,111089
18-Mar,도두동,13502350,4704
18-Mar,봉개동,12191650,4328
18-Mar,삼도1동,70831300,28786
18-Mar,삼도2동,40080850,16879
18-Mar,삼도동,,
18-Mar,삼양동,68379600,28346
18-Mar,아라동,115486650,50545
18-Mar,애월읍,8239050,3738
18-Mar,연동,225422800,97135
18-Mar,오라동,55129800,21982
18-Mar,외도동,104654900,45211
18-Mar,용담1동,39131150,14511
18-Mar,용담2동,65294400,28552
18-Mar,이도1동,51854450,19272
18-Mar,이도2동,213420050,86700
18-Mar,이호동,17559100,6980
18-Mar,일도1동,26407100,8148
18-Mar,일도2동,168095050,69549
18-Mar,조천읍,,
18-Mar,한경면,,
18-Mar,한림읍,,
18-Mar,화북동,115158550,54287
18-Apr,건입동,35243200,15295
18-Apr,구좌읍,,
18-Apr,노형동,237670450,109990
18-Apr,도두동,12929700,4706
18-Apr,봉개동,11962450,4426
18-Apr,삼도1동,64246150,28423
