,aptCode,emd_nm
0,W6Y001,동홍동
1,W6Y002,동홍동
2,W6Y003,동홍동
3,W6Y004,동홍동
4,W6Y005,동홍동
5,W6Y006,동홍동
6,W6Y007,동홍동
7,W6Y008,동홍동
8,W6Y009,동홍동
9,W6Y010,동홍동
10,W6Y011,동홍동
11,W6Y013,대천동
12,W6Y014,동홍동
13,W6Y015,동홍동
14,W6Y016,동홍동
15,W6Y017,동홍동
16,W6Y018,동홍동
17,W6Y019,서홍동
18,W6Y020,서홍동
19,W6Y021,서홍동
20,W6Y022,서홍동
21,W6Y023,서홍동
22,W6Y024,서홍동
23,W6Y025,서홍동
24,W6Y026,송산동
25,W6Y027,송산동
26,W6Y028,정방동
27,W6Y029,영천동
28,W6Y030,대천동
29,W6Y031,대천동
30,W6Y032,대천동
31,W6Y033,대륜동
32,W6Y034,대륜동
33,W6Y035,대륜동
34,W6Y036,대륜동
35,W6Y037,중문동
36,W6Y038,중문동
37,W6Y039,중문동
38,W6Y040,중문동
39,W6Y041,중문동
42,W6Y044,대정읍
43,W6Y045,서홍동
44,W6Y046,동홍동
45,W6Y047,동홍동
46,W6Y049,대천동
47,W6Y050,대천동
48,W6Y051,대륜동
49,W6Y052,대륜동
51,W6Y054,대정읍
52,W6Y055,예래동
53,W6Y056,대천동
54,W6Y057,정방동
55,W6Y058,정방동
56,W6Y059,정방동
57,W6Y060,정방동
58,W6Y061,정방동
59,W6Y062,정방동
60,W6Y063,정방동
61,W6Y064,정방동
62,W6Y065,정방동
63,W6Y066,정방동
64,W6Y067,정방동
65,W6Y068,중앙동
66,W6Y069,중앙동
67,W6Y070,중앙동
68,W6Y071,중앙동
69,W6Y072,중앙동
70,W6Y073,중앙동
71,W6Y074,중앙동
72,W6Y075,천지동
73,W6Y077,천지동
74,W6Y078,천지동
75,W6Y079,천지동
76,W6Y080,천지동
77,W6Y081,천지동
78,W6Y082,천지동
79,W6Y083,천지동
80,W6Y084,천지동
81,W6Y085,천지동
82,W6Y086,천지동
83,W6Y087,천지동
84,W6Y088,천지동
85,W6Y089,천지동
86,W6Y090,송산동
87,W6Y091,송산동
88,W6Y092,송산동
89,W6Y093,송산동
90,W6Y094,송산동
91,W6Y095,송산동
92,W6Y096,송산동
93,W6Y097,송산동
94,W6Y098,송산동
95,W6Y099,효돈동
96,W6Y100,송산동
97,W6Y101,송산동
98,W6Y103,송산동
99,W6Y104,서홍동
100,W6Y105,서홍동
101,W6Y106,서홍동
102,W6Y107,송산동
103,W6Y109,동홍동
104,W6Y110,동홍동
105,W6Y111,동홍동
106,W6Y112,동홍동
108,W6Y114,동홍동
109,W6Y115,동홍동
110,W6Y116,동홍동
111,W6Y117,동홍동
112,W6Y118,동홍동
113,W6Y119,동홍동
114,W6Y120,동홍동
115,W6Y121,동홍동
116,W6Y122,동홍동
117,W6Y123,동홍동
118,W6Y124,동홍동
119,W6Y125,동홍동
120,W6Y126,동홍동
121,W6Y127,동홍동
122,W6Y128,동홍동
123,W6Y129,서홍동
124,W6Y130,동홍동
125,W6Y131,동홍동
126,W6Y132,동홍동
127,W6Y133,동홍동
128,W6Y134,동홍동
129,W6Y135,동홍동
130,W6Y136,송산동
131,W6Y137,송산동
132,W6Y138,송산동
133,W6Y139,송산동
134,W6Y140,송산동
135,W6Y141,송산동
136,W6Y142,서홍동
138,W6Y144,동홍동
139,W6Y145,서홍동
140,W6Y146,서홍동
141,W6Y147,서홍동
142,W6Y148,서홍동
143,W6Y149,영천동
144,W6Y150,서홍동
145,W6Y151,대륜동
146,W6Y152,대륜동
147,W6Y153,대륜동
148,W6Y154,대륜동
149,W6Y155,대륜동
150,W6Y156,대륜동
151,W6Y157,대륜동
152,W6Y158,대륜동
153,W6Y159,대륜동
154,W6Y160,대륜동
155,W6Y161,대륜동
156,W6Y162,대륜동
