base_date,emd_nm,use_cnt,mct_cat_nm_0,mct_cat_nm_1,mct_cat_nm_2,mct_cat_nm_3,mct_cat_nm_4,mct_cat_nm_5,mct_cat_nm_6,mct_cat_nm_7,mct_cat_nm_8,mct_cat_nm_9,mct_cat_nm_10
2018-01,건입동,57683,613458055,705583595,37051483,69893850,52714107,55110922,5081850,14468297,279219424,180535251,11571838
2018-01,구좌읍,38869,468618011,441322929,31575817,52730081,24271899,36994936,735518,4325710,290942686,81939014,3714415
2018-01,남원읍,49138,700738510,545929908,18314275,87237934,36003854,57030976,836173,9074662,285403473,132565191,5163749
2018-01,노형동,397207,4918395521,4035120676,230258664,478343394,398428801,402990583,15383521,114581724,1100095419,521442784,86216063
2018-01,대륜동,65027,1204811433,670003378,38325300,92484907,62481472,81574888,1100822,10153389,110219574,133506435,9839787
2018-01,대정읍,80495,1360298021,762194916,117581563,96196033,88847534,98015164,1060560,10372375,218884618,146060716,9267134
2018-01,대천동,60983,991035632,568888412,30734317,92292288,56156408,80300156,2154017,9013287,145810995,116891485,8813941
2018-01,도두동,16037,286892380,184379927,9650875,21076175,10676649,17004410,1237320,4407707,65966637,62194774,2845001
2018-01,동홍동,119118,2258004710,1231469040,49536525,152938153,89540973,126657868,7833414,22231007,165369882,263004249,15937712
2018-01,봉개동,14135,192091574,161268508,8396689,19959837,14922473,15374978,0,3152220,57971980,20159431,593619
2018-01,삼도1동,92264,1145247773,1001079322,48433739,108494797,79046507,91692164,5110819,23732976,213321582,127509263,16806242
2018-01,삼도2동,50660,594475453,554163792,27744888,60723934,38890346,51061078,3790520,7898226,153435144,98348921,15833227
2018-01,삼양동,128594,1462171834,1347978012,70129898,153996356,126054778,154057879,4783813,22388127,421199354,153552051,16635571
2018-01,서홍동,54716,1039480736,592105493,25417377,64604798,48910281,73630165,2929798,12873529,63313949,132777106,2841908
2018-01,성산읍,38694,510391702,409453984,14468052,52533072,25439348,41970582,1295258,3301975,214865233,149950715,4000177
