base_date,emd_nm,short_nationality_CHN,short_nationality_ETC,short_nationality_HKG,short_nationality_IDN,short_nationality_JPN,short_nationality_MYS,short_nationality_SGP,short_nationality_THA,short_nationality_USA,short_nationality_VNM,short_visit_pop_cnt
2018-01,건입동,744,627,383,213,533,672,538,239,289,98,78223.07959999998
2018-01,구좌읍,744,540,123,101,244,524,245,216,483,0,46564.7514
2018-01,남원읍,744,744,516,173,526,557,368,246,590,168,255565.15989999997
2018-01,노형동,744,743,500,161,527,730,308,246,552,57,199557.93999999997
2018-01,대륜동,742,660,216,141,333,568,222,28,230,1,42826.876299999996
2018-01,대정읍,744,625,269,112,420,350,168,373,508,1,41087.2577
2018-01,대천동,696,464,79,124,93,472,120,47,131,0,16351.909899999999
2018-01,도두동,744,690,387,201,408,529,404,540,330,0,103325.56859999997
2018-01,동홍동,744,647,157,31,224,352,117,76,271,0,29677.549999999996
2018-01,봉개동,610,641,71,60,45,254,29,29,149,27,15134.504200000001
2018-01,삼도1동,706,316,134,54,286,332,122,13,29,0,16543.609699999997
2018-01,삼도2동,744,728,370,147,660,727,427,133,275,31,107137.67519999998
2018-01,삼양동,657,357,0,0,340,21,13,52,38,0,9167.7264
2018-01,서홍동,744,744,246,102,247,497,148,173,199,41,132827.0723
2018-01,성산읍,744,735,407,303,391,731,422,451,418,210,121699.655
2018-01,송산동,581,179,23,14,56,301,131,3,118,0,6866.7827
2018-01,아라동,744,363,162,105,378,361,137,6,511,0,29959.185199999996
2018-01,안덕면,744,744,494,60,325,666,397,482,641,141,110446.49950000002
2018-01,애월읍,744,744,488,264,530,717,501,478,724,361,178483.412
2018-01,연동,744,744,696,345,742,744,602,498,646,79,829435.4618999999
2018-01,영천동,744,565,48,10,244,191,166,1,96,0,19949.842999999993
2018-01,예래동,744,743,404,154,452,567,287,47,580,30,112686.92799999999
2018-01,오라동,744,458,89,71,274,512,126,55,119,29,23681.9001
2018-01,외도동,473,375,95,0,253,68,79,640,80,26,32162.66170000001
2018-01,용담1동,737,288,21,49,155,99,42,3,281,5,10829.488300000003
2018-01,용담2동,744,744,673,490,744,712,698,729,678,104,578045.321
2018-01,우도면,642,176,11,45,18,89,39,28,65,1,7638.627200000001
2018-01,이도1동,726,665,89,109,372,337,130,25,191,0,26280.0268
2018-01,이도2동,744,742,75,38,494,530,114,243,471,0,42010.22419999999
2018-01,이호동,525,410,19,58,82,154,149,694,49,0,40426.206600000005
2018-01,일도1동,656,244,61,282,272,248,70,43,166,0,14081.0895
2018-01,일도2동,741,580,40,11,422,319,48,4,295,0,15563.193800000005
2018-01,정방동,744,481,294,130,372,597,432,2,284,28,38030.0665
2018-01,조천읍,744,730,192,79,293,530,386,59,486,2,46284.931200000006
2018-01,중문동,744,463,171,40,288,577,183,15,249,52,34315.6281
2018-01,중앙동,699,235,76,105,165,397,93,24,87,21,13393.754
2018-01,천지동,608,549,179,118,177,572,172,16,159,1,17593.7115
2018-01,추자면,564,638,46,52,45,147,57,9,96,22,12110.423700000003
2018-01,표선면,744,529,114,129,353,495,221,419,283,17,45499.3817
2018-01,한경면,744,298,42,27,43,115,96,125,112,5,14496.3376
2018-01,한림읍,744,741,142,393,274,228,227,33,474,9,58090.596
2018-01,화북동,742,162,2,1,191,146,7,0,4,0,8625.8009
2018-01,효돈동,606,132,2,0,79,37,52,0,57,0,6418.454500000002
2018-02,건입동,672,655,495,121,461,640,500,135,164,63,83742.4895
2018-02,구좌읍,672,572,194,148,287,592,141,431,190,0,37196.642700000004
2018-02,남원읍,672,672,409,198,332,468,332,246,635,105,160098.54249999995
2018-02,노형동,672,672,523,206,575,667,227,311,309,73,241704.10169999997
2018-02,대륜동,672,657,262,136,284,445,120,114,207,0,46550.89500000001
2018-02,대정읍,672,576,199,21,201,252,170,259,266,28,30702.342700000005
2018-02,대천동,670,357,271,6,87,197,117,69,255,0,15406.970100000002
