,emd_nm,observatoryName,baseDate,averageTemperature,lowestTemperature,lowestTemperatureTime,highestTemperature,highestTemperatureTime,dailyRainfall,maximumWindSpeed,maximumWindSpeedTime,averageWindSpeed,maximumWindSpeedDirection
0,건입동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
1,구좌읍,구좌,20180101,6.2000,4.7000,746,8.2000,1406,0.0000,11.4000,445,5.2000,357.0000
2,남원읍,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
3,노형동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
4,대륜동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
5,대정읍,대정,20180101,5.7000,1.9000,2214,9.2000,1352,0.0000,10.5000,1157,3.8000,347.9000
6,대천동,서광,20180101,5.1000,2.8000,2001,8.2000,1401,0.0000,10.3000,1109,3.1000,326.9000
7,도두동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
8,동홍동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
9,봉개동,대흘,20180101,4.2000,1.3000,2256,6.4000,1256,0.0000,9.3000,527,3.3000,357.2000
10,삼도1동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
11,삼도2동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
12,삼양동,대흘,20180101,4.2000,1.3000,2256,6.4000,1256,0.0000,9.3000,527,3.3000,357.2000
13,서홍동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
14,성산읍,표선,20180101,4.8000,1.1000,2117,9.3000,1316,0.0000,9.4000,1532,3.1000,5.6000
15,송산동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
16,아라동,산천단,20180101,1.6000,-1.9000,2331,5.1000,1248,0.0000,7.4000,339,1.8000,297.1000
17,안덕면,서광,20180101,5.1000,2.8000,2001,8.2000,1401,0.0000,10.3000,1109,3.1000,326.9000
18,애월읍,유수암,20180101,1.9000,-0.1000,2331,4.5000,1336,0.0000,7.7000,501,2.4000,6.0000
19,연동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
20,영천동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
21,예래동,서광,20180101,5.1000,2.8000,2001,8.2000,1401,0.0000,10.3000,1109,3.1000,326.9000
22,오라동,삼각봉,20180101,-6.4000,-8.8000,1656,-4.2000,1335,0.0000,8.7000,2133,1.0000,267.2000
23,외도동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
24,용담1동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
25,용담2동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
26,우도면,우도,20180101,6.7000,5.3000,745,8.6000,1428,0.0000,8.4000,305,4.4000,356.8000
27,이도1동,대흘,20180101,4.2000,1.3000,2256,6.4000,1256,0.0000,9.3000,527,3.3000,357.2000
28,이도2동,대흘,20180101,4.2000,1.3000,2256,6.4000,1256,0.0000,9.3000,527,3.3000,357.2000
29,이호동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
30,일도1동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
31,일도2동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
32,정방동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
33,조천읍,대흘,20180101,4.2000,1.3000,2256,6.4000,1256,0.0000,9.3000,527,3.3000,357.2000
34,중문동,중문,20180101,5.3000,2.3000,713,10.5000,1247,0.0000,9.8000,1213,2.0000,332.6000
35,중앙동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
36,천지동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
37,추자면,추자도,20180101,5.7000,4.1000,730,8.2000,1122,0.0000,7.0000,542,1.8000,2.8000
38,표선면,표선,20180101,4.8000,1.1000,2117,9.3000,1316,0.0000,9.4000,1532,3.1000,5.6000
39,한경면,강정,20180101,5.1000,0.8000,626,10.2000,1536,0.0000,9.6000,410,2.3000,255.9000
40,한림읍,한림,20180101,5.7000,2.8000,2305,8.2000,1427,0.0000,9.7000,504,3.8000,17.5000
41,화북동,외도,20180101,5.0000,0.9000,2104,8.5000,1407,0.0000,7.9000,321,2.5000,350.3000
42,효돈동,제주남원,20180101,6.4000,4.5000,728,10.9000,1400,0.0000,10.1000,35,4.2000,353.9000
43,건입동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
44,구좌읍,구좌,20180102,6.9000,-0.1000,727,9.8000,1337,0.0000,9.9000,2358,3.1000,322.9000
45,남원읍,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
46,노형동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
47,대륜동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
48,대정읍,대정,20180102,6.8000,0.6000,724,11.8000,1309,0.0000,7.5000,1441,2.8000,347.3000
49,대천동,서광,20180102,6.4000,0.6000,541,11.6000,1331,0.0000,8.1000,1618,2.5000,4.1000
50,도두동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
51,동홍동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
52,봉개동,대흘,20180102,5.0000,-0.3000,659,8.2000,1241,0.0000,7.3000,2353,1.9000,8.4000
53,삼도1동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
54,삼도2동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
55,삼양동,대흘,20180102,5.0000,-0.3000,659,8.2000,1241,0.0000,7.3000,2353,1.9000,8.4000
56,서홍동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
57,성산읍,표선,20180102,5.3000,-2.4000,700,10.5000,1231,0.0000,8.0000,1619,2.8000,19.7000
58,송산동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
59,아라동,산천단,20180102,2.7000,-1.9000,29,7.5000,1210,0.0000,5.0000,1455,1.5000,310.2000
60,안덕면,서광,20180102,6.4000,0.6000,541,11.6000,1331,0.0000,8.1000,1618,2.5000,4.1000
61,애월읍,유수암,20180102,3.1000,-3.5000,633,7.4000,1157,0.0000,6.2000,1403,1.7000,45.0000
62,연동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
63,영천동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
64,예래동,서광,20180102,6.4000,0.6000,541,11.6000,1331,0.0000,8.1000,1618,2.5000,4.1000
65,오라동,삼각봉,20180102,-2.9000,-6.9000,9,0.7000,1343,0.0000,8.5000,1815,3.1000,281.3000
66,외도동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
67,용담1동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
68,용담2동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
69,우도면,우도,20180102,8.0000,5.6000,516,10.3000,1317,0.0000,6.3000,2358,3.0000,350.1000
70,이도1동,대흘,20180102,5.0000,-0.3000,659,8.2000,1241,0.0000,7.3000,2353,1.9000,8.4000
71,이도2동,대흘,20180102,5.0000,-0.3000,659,8.2000,1241,0.0000,7.3000,2353,1.9000,8.4000
72,이호동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
73,일도1동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
74,일도2동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
75,정방동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
76,조천읍,대흘,20180102,5.0000,-0.3000,659,8.2000,1241,0.0000,7.3000,2353,1.9000,8.4000
77,중문동,중문,20180102,6.9000,2.1000,431,11.7000,1512,0.0000,6.1000,2347,1.3000,339.2000
78,중앙동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
79,천지동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
80,추자면,추자도,20180102,6.8000,4.0000,723,9.8000,1347,0.0000,9.4000,1958,2.2000,33.8000
81,표선면,표선,20180102,5.3000,-2.4000,700,10.5000,1231,0.0000,8.0000,1619,2.8000,19.7000
82,한경면,강정,20180102,,,,,,0.0000,,,,
83,한림읍,한림,20180102,6.9000,1.8000,425,10.2000,1249,0.0000,7.5000,1328,2.9000,34.1000
84,화북동,외도,20180102,6.0000,1.4000,203,10.0000,1401,0.0000,7.8000,1458,2.1000,17.7000
85,효돈동,제주남원,20180102,7.7000,3.7000,458,12.4000,1500,0.0000,9.1000,228,3.7000,18.9000
86,건입동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
87,구좌읍,구좌,20180103,4.5000,2.9000,2226,8.0000,1,0.0000,13.5000,1418,6.9000,315.5000
88,남원읍,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
89,노형동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
90,대륜동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
91,대정읍,대정,20180103,5.2000,3.3000,2319,8.4000,29,0.0000,13.4000,1051,6.3000,347.3000
92,대천동,서광,20180103,3.9000,2.3000,2311,7.1000,45,0.0000,15.3000,2358,5.9000,351.9000
93,도두동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
94,동홍동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
95,봉개동,대흘,20180103,3.0000,1.6000,2145,6.6000,1,0.0000,9.5000,1724,4.3000,320.6000
96,삼도1동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
97,삼도2동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
98,삼양동,대흘,20180103,3.0000,1.6000,2145,6.6000,1,0.0000,9.5000,1724,4.3000,320.6000
99,서홍동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
100,성산읍,표선,20180103,4.0000,2.0000,2359,6.8000,50,0.0000,12.0000,1355,5.0000,118.1000
101,송산동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
102,아라동,산천단,20180103,1.1000,-1.5000,2216,4.2000,17,0.0000,7.2000,1542,2.5000,297.1000
103,안덕면,서광,20180103,3.9000,2.3000,2311,7.1000,45,0.0000,15.3000,2358,5.9000,351.9000
104,애월읍,유수암,20180103,0.8000,-0.8000,2353,4.1000,26,0.0000,8.7000,312,3.5000,24.7000
105,연동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
106,영천동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
107,예래동,서광,20180103,3.9000,2.3000,2311,7.1000,45,0.0000,15.3000,2358,5.9000,351.9000
108,오라동,삼각봉,20180103,-4.0000,-5.8000,2153,-1.0000,1346,0.0000,10.6000,1657,3.4000,286.9000
109,외도동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
110,용담1동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
111,용담2동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
112,우도면,우도,20180103,5.1000,3.5000,2225,8.3000,1,0.0000,8.6000,1613,5.2000,329.1000
113,이도1동,대흘,20180103,3.0000,1.6000,2145,6.6000,1,0.0000,9.5000,1724,4.3000,320.6000
114,이도2동,대흘,20180103,3.0000,1.6000,2145,6.6000,1,0.0000,9.5000,1724,4.3000,320.6000
115,이호동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
116,일도1동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
117,일도2동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
118,정방동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
119,조천읍,대흘,20180103,3.0000,1.6000,2145,6.6000,1,0.0000,9.5000,1724,4.3000,320.6000
120,중문동,중문,20180103,6.9000,4.2000,1744,12.7000,1253,0.0000,10.3000,1413,2.2000,318.4000
121,중앙동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
122,천지동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
123,추자면,추자도,20180103,3.6000,2.0000,1933,6.9000,1247,0.0000,7.8000,823,2.2000,22.5000
124,표선면,표선,20180103,4.0000,2.0000,2359,6.8000,50,0.0000,12.0000,1355,5.0000,118.1000
125,한경면,강정,20180103,7.4000,5.3000,2358,11.6000,1230,0.0000,7.2000,1407,1.8000,109.7000
126,한림읍,한림,20180103,4.6000,3.2000,2328,8.3000,7,0.0000,11.4000,1549,5.5000,23.3000
127,화북동,외도,20180103,4.1000,2.5000,2357,7.8000,1,0.0000,6.9000,2,2.6000,43.0000
128,효돈동,제주남원,20180103,6.7000,4.3000,2103,12.4000,1241,0.0000,12.3000,340,5.2000,351.2000
129,건입동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
130,구좌읍,구좌,20180104,3.4000,2.1000,2351,4.5000,1418,0.0000,11.5000,334,3.5000,322.7000
131,남원읍,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
132,노형동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
133,대륜동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
134,대정읍,대정,20180104,3.9000,1.9000,2325,5.5000,1259,2.5000,11.8000,23,5.8000,92.6000
135,대천동,서광,20180104,2.9000,1.6000,2311,4.4000,1152,3.0000,16.8000,212,5.9000,354.7000
136,도두동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
137,동홍동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
138,봉개동,대흘,20180104,2.1000,0.7000,2330,2.8000,1223,0.5000,7.7000,716,2.9000,343.1000
139,삼도1동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
140,삼도2동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
141,삼양동,대흘,20180104,2.1000,0.7000,2330,2.8000,1223,0.5000,7.7000,716,2.9000,343.1000
142,서홍동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
143,성산읍,표선,20180104,3.1000,1.7000,113,5.2000,1313,1.0000,10.6000,1010,5.0000,2.8000
144,송산동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
145,아라동,산천단,20180104,0.1000,-2.6000,126,1.2000,1246,1.0000,4.3000,901,1.3000,312.4000
146,안덕면,서광,20180104,2.9000,1.6000,2311,4.4000,1152,3.0000,16.8000,212,5.9000,354.7000
147,애월읍,유수암,20180104,-0.1000,-1.1000,31,0.9000,1149,2.0000,6.6000,224,2.0000,40.7000
148,연동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
149,영천동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
150,예래동,서광,20180104,2.9000,1.6000,2311,4.4000,1152,3.0000,16.8000,212,5.9000,354.7000
151,오라동,삼각봉,20180104,-1.8000,-4.4000,2018,1.9000,1300,2.5000,9.0000,822,2.3000,272.8000
152,외도동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
153,용담1동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
154,용담2동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
155,우도면,우도,20180104,4.1000,3.3000,744,5.0000,1441,0.0000,8.0000,156,3.9000,329.2000
156,이도1동,대흘,20180104,2.1000,0.7000,2330,2.8000,1223,0.5000,7.7000,716,2.9000,343.1000
157,이도2동,대흘,20180104,2.1000,0.7000,2330,2.8000,1223,0.5000,7.7000,716,2.9000,343.1000
158,이호동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
159,일도1동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
160,일도2동,외도,20180104,3.3000,1.4000,2332,4.5000,1158,0.5000,5.5000,924,1.8000,43.0000
161,정방동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
162,조천읍,대흘,20180104,2.1000,0.7000,2330,2.8000,1223,0.5000,7.7000,716,2.9000,343.1000
163,중문동,중문,20180104,6.2000,2.7000,2051,10.1000,1232,7.0000,5.4000,715,1.1000,322.6000
164,중앙동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
165,천지동,제주남원,20180104,5.5000,3.4000,112,9.9000,1257,1.0000,13.0000,123,3.6000,355.4000
